trajectory,channel,arm,n_frames,translation_median_mm,rotation_median_deg,paired_translation_effect_vs_Huber_mm,paired_rotation_effect_vs_Huber_deg
VI,p2p,PatchSmooth_vs_Raw,501,114.41817821155006,4.599477843837341,45.88778136006229,0.20306361750637425
IV,p2p,PatchSmooth_vs_Raw,156,123.20574302003442,3.906704679254248,37.5498054760842,-0.18740013509787623
II,p2p,PatchSmooth_vs_Raw,428,42.76476119494801,1.3309342322213396,21.125479331522413,-0.36663554602753057
III,p2p,PatchSmooth_vs_Raw,371,37.681391095328394,2.1421756303830692,31.208339553757725,0.2502705688683702
VI,p2p,PatchSmoothHuber,501,102.43793655155291,4.391432514747162,46.09725314792949,0.502741153577186
IV,p2p,PatchSmoothHuber,156,101.56247683228312,3.549293192906804,33.60806553546147,0.0751412076334097
II,p2p,PatchSmoothHuber,428,40.84567777498562,1.6208081207544602,6.7063658510858914,0.5434825997915885
III,p2p,PatchSmoothHuber,371,29.063694592717695,1.8894409063025233,20.63259081875378,0.8527562876804577
VI,p2l,PatchSmoothHuber,501,102.40987542096626,4.515190157056915,47.12605309300709,0.8298291452923481
IV,p2l,PatchSmoothHuber,156,103.76866205907595,3.2254163899221653,32.89149584619674,0.37667037576083384
II,p2l,PatchSmoothHuber,428,42.60472584379383,1.7823326233832781,4.724195946564002,0.6624955470341076
III,p2l,PatchSmoothHuber,371,30.47961747005426,2.134978731198046,19.5309927116245,1.0707781662955964
