trajectory,channel,arm,n_frames,translation_median_mm,rotation_median_deg,paired_translation_effect_vs_Huber_mm,paired_rotation_effect_vs_Huber_deg
VI,p2p,Huber,501,148.89218795717866,3.946522813593576,0.0,0.0
IV,p2p,Huber,156,132.56240261356217,3.401346458758705,0.0,0.0
II,p2p,Huber,428,50.896762880148486,1.048944368693606,0.0,0.0
III,p2p,Huber,371,55.890951830742615,1.0469504575392192,0.0,0.0
VI,p2p,PatchHuber,501,102.85815636252336,4.308393753652117,45.3799532674704,0.421019787289143
IV,p2p,PatchHuber,156,102.13888397725754,3.535414005614065,31.806695607959142,0.05219851842437362
II,p2p,PatchHuber,428,40.133061803888246,1.53086484902532,7.873511154948556,0.4977056037487792
III,p2p,PatchHuber,371,32.19458455669096,1.732525011135248,19.662711543654517,0.7200132573811806
VI,p2p,PatchReNormalHuber,501,102.85815636252337,4.308393753652117,45.37995326747041,0.4210197872891426
IV,p2p,PatchReNormalHuber,156,102.13888397725755,3.535414005614065,31.806695607959135,0.05219851842437362
II,p2p,PatchReNormalHuber,428,40.133061803888246,1.53086484902532,7.873511154948556,0.4977056037487792
III,p2p,PatchReNormalHuber,371,32.19458455669096,1.732525011135248,19.662711543654517,0.7200132573811806
VI,p2l,Huber,501,149.71909240791805,3.886588956764709,0.0,0.0
IV,p2l,Huber,156,134.86722865754192,2.828254740069032,0.0,0.0
II,p2l,Huber,428,52.52628800811347,1.120168625539964,0.0,0.0
III,p2l,Huber,371,56.49953946977402,0.9629542185298572,0.0,0.0
VI,p2l,PatchHuber,501,102.30929231152658,4.802705747956933,47.14216313429442,1.11846381882328
IV,p2l,PatchHuber,156,104.58225198851555,3.416159190638148,32.22245801168562,0.6119992751396579
II,p2l,PatchHuber,428,42.90240920442986,1.981146754774476,5.704531839927839,0.8883712858766304
III,p2l,PatchHuber,371,33.17721641720435,2.255419048558004,20.89678777867433,1.0594552958244672
VI,p2l,PatchReNormalHuber,501,102.25224716482886,4.413484168486784,47.19042374462879,0.7526571670000815
IV,p2l,PatchReNormalHuber,156,105.27568556003322,3.146407910757092,32.2692939360915,0.27641734724168554
II,p2l,PatchReNormalHuber,428,42.905320999616976,1.7654651144055522,5.377127666563343,0.6557537776422943
III,p2l,PatchReNormalHuber,371,31.821144538241004,2.0788626059282533,20.389987071524445,0.9863124935317866
