comparison,trajectory,block_size,n_blocks,median_paired_effect,median_block_effect,ci_lo,ci_hi,sign,ci_crosses_zero,frac_blocks_positive
Patch_vs_Raw,IV,25,7,33.630700956669884,32.56258722241901,27.281394191145978,39.77563705038135,positive,False,1.0
Patch_vs_Raw,IV,50,4,33.630700956669884,31.31452141975059,24.500096784798842,36.97387438525245,positive,False,1.0
Patch_vs_Raw,IV,100,2,33.630700956669884,30.736985585025646,24.500096784798842,36.97387438525245,positive,False,1.0
Patch_vs_Raw,II,25,18,19.1030687120173,13.898060868910564,13.065031654111863,28.34039395596272,positive,False,0.9444444444444444
Patch_vs_Raw,II,50,9,19.1030687120173,18.099165504740768,11.889974540865653,30.113590387777112,positive,False,1.0
Patch_vs_Raw,II,100,5,19.1030687120173,26.168415739421135,10.100662743150409,27.9794582120645,positive,False,1.0
Patch_vs_Raw,III,25,15,28.929768382518283,30.984340936886916,22.75856826765217,37.75901289003052,positive,False,1.0
Patch_vs_Raw,III,50,8,28.929768382518283,31.657774524726364,21.142902884338405,38.58934520104432,positive,False,1.0
Patch_vs_Raw,III,100,4,28.929768382518283,27.635827449126637,16.487238859782735,39.624379688911944,positive,False,1.0
Patch_vs_Raw,VI,frozen_orientation,6,43.5102795086748,43.805045137914654,41.931537995542605,45.00253815437324,positive,False,1.0
PatchHuber_vs_Huber,IV,25,7,31.806695607959142,28.743922128525554,26.439113623478974,38.14708837793711,positive,False,1.0
PatchHuber_vs_Huber,IV,50,4,31.806695607959142,29.883063874452894,22.396123948651727,34.68638056436181,positive,False,1.0
PatchHuber_vs_Huber,IV,100,2,31.806695607959142,28.47429175356795,22.396123948651727,34.55245955848417,positive,False,1.0
PatchHuber_vs_Huber,II,25,18,7.873511154948556,7.334169403563418,2.1791333768274277,11.201444216229962,positive,False,0.8333333333333334
PatchHuber_vs_Huber,II,50,9,7.873511154948556,3.9022966924017126,1.6113392056900473,12.085140901162951,positive,False,0.8888888888888888
PatchHuber_vs_Huber,II,100,5,7.873511154948556,8.914253813227756,-0.3763844646054988,10.879317315628715,positive,True,0.8
PatchHuber_vs_Huber,III,25,15,19.662711543654517,20.2427995135089,11.016059568122259,33.08511118170555,positive,False,0.8666666666666667
PatchHuber_vs_Huber,III,50,8,19.662711543654517,18.25437834496772,6.080280269829871,34.16447139539983,positive,False,0.75
PatchHuber_vs_Huber,III,100,4,19.662711543654517,18.05580939645504,0.7421057913084042,35.49187031936879,positive,False,0.75
PatchHuber_vs_Huber,VI,frozen_orientation,6,45.3799532674704,45.059185958327475,43.191085603712864,47.06426401110586,positive,False,1.0
Patch_vs_Global,IV,25,7,26.16214859274467,26.17656958532754,19.941145687585333,32.32001279404359,positive,False,1.0
Patch_vs_Global,IV,50,4,26.16214859274467,24.43205577209294,17.6557961292542,30.80228232966045,positive,False,1.0
Patch_vs_Global,IV,100,2,26.16214859274467,24.05169405588816,17.6557961292542,30.44759198252212,positive,False,1.0
Patch_vs_Global,II,25,18,7.467911622864934,2.105325422283066,5.684341886080802e-14,16.49267681920613,positive,False,0.6111111111111112
Patch_vs_Global,II,50,9,7.467911622864934,5.213323963360551,-2.842170943040401e-14,18.98626921047144,positive,True,0.5555555555555556
Patch_vs_Global,II,100,5,7.467911622864934,13.090286730954865,-0.1563613611268977,17.23482162120213,positive,True,0.6
Patch_vs_Global,III,25,15,22.071698792994837,23.644365972082902,15.452126763487179,29.20364926561884,positive,False,0.9333333333333333
Patch_vs_Global,III,50,8,22.071698792994837,24.29438111275274,13.857189445712947,30.338669791114107,positive,False,1.0
Patch_vs_Global,III,100,4,22.071698792994837,19.63077026812651,13.076275677953149,30.79832166287604,positive,False,1.0
Patch_vs_Global,VI,frozen_orientation,6,37.78964555678448,38.19035661403166,34.67958853213969,41.46606560145365,positive,False,1.0
