trajectory,budget,n,raw_et_median,patch_et_median,raw_eR_median,patch_eR_median,paired_gain_et_median,patch_better_fraction,raw_cap_fraction,patch_cap_fraction,raw_boundary_fraction,patch_boundary_fraction,raw_iters_median,patch_iters_median,raw_abs_dEt_median,patch_abs_dEt_median,raw_abs_dER_median,patch_abs_dER_median,winner_flip_fraction
VI,40,40,162.395298938809,116.98505564393933,4.570661343838915,4.501988622578111,43.558230382712836,1.0,0.4,0.4,0.0,0.0,37.5,36.0,,,,,
VI,80,40,162.60567141768402,117.04081032718312,4.564365627771549,4.493546435880475,43.5826692409422,1.0,0.025,0.0,0.0,0.0,37.5,36.0,,,,,
VI,160,40,162.60567141768402,117.04081032718312,4.564365627771549,4.493546435880475,43.5826692409422,1.0,0.0,0.0,0.0,0.0,37.5,36.0,,,,,
VI,40->80,40,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
VI,80->160,40,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
VI,40->160,40,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
IV,40,40,150.24565827856145,140.95007439657263,2.456961421669763,1.844800775542723,5.052362188655593,0.775,0.9,0.9,0.1,0.075,40.0,40.0,,,,,
IV,80,40,158.16378860200533,148.31950512538748,1.912839113461265,1.335662444930073,6.032069674843811,0.7,0.575,0.575,0.1,0.1,80.0,80.0,,,,,
IV,160,40,158.60216574401454,148.6321175813758,1.8643863518023522,1.3108523015499118,6.293458560265236,0.675,0.025,0.025,0.1,0.1,85.0,83.5,,,,,
IV,40->80,40,,,,,,,,,,,,,8.176899140212484,6.932030342749741,0.3342731563887603,0.395803121767925,0.125
IV,80->160,40,,,,,,,,,,,,,0.15151745419080953,0.06409584610894115,0.012949107641557434,0.012634061378289596,0.025
IV,40->160,40,,,,,,,,,,,,,8.282458578264212,6.949775896055925,0.45242812102225716,0.4191956400552257,0.1
II,40,40,53.754675718531004,40.74458363759139,1.5464243088595422,1.515975688752627,11.984012425672127,0.85,0.625,0.65,0.05,0.05,40.0,40.0,,,,,
II,80,40,53.972914747949766,41.10573812274972,1.5963813462325231,1.5169181880242653,12.237587838583963,0.85,0.075,0.05,0.05,0.05,44.5,44.0,,,,,
II,160,40,53.972914747949766,41.10573812274972,1.5963813462325231,1.5169181880242653,12.237587838583963,0.85,0.0,0.0,0.05,0.05,44.5,44.0,,,,,
II,40->80,40,,,,,,,,,,,,,0.06932882537169505,0.03281496408035167,0.017209592943145724,0.012219680856041734,0.0
II,80->160,40,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
II,40->160,40,,,,,,,,,,,,,0.06932882537169505,0.026579031515396423,0.017209592943145724,0.012219680856041734,0.0
III,40,40,52.018103833408816,40.945574112196255,1.677062277710467,2.055180455708469,12.040534011897421,0.7,0.45,0.65,0.05,0.05,38.0,40.0,,,,,
III,80,40,52.018103833408816,40.91999207463135,1.663188588056014,2.085086338230105,10.410430233325917,0.7,0.025,0.025,0.05,0.05,38.0,48.0,,,,,
III,160,40,52.018103833408816,40.91999207463135,1.663188588056014,2.085086338230105,10.527167920619013,0.7,0.0,0.0,0.05,0.05,38.0,48.0,,,,,
III,40->80,40,,,,,,,,,,,,,0.0,0.02646592639801426,0.0,0.02080358444184549,0.0
III,80->160,40,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
III,40->160,40,,,,,,,,,,,,,0.0,0.02646592639801426,0.0,0.02080358444184549,0.0
