trajectory,order,kind,idempotence_P2_rel,normal_eq_resid_rel,pjw_identity_abs_diff_mm,factor2_grad_maxdiff,fd_step_vs_cached_maxdiff
VI,0,p2p,2.7813286091721252e-15,4.342978154844376e-16,0.0,9.319906014153972e-05,2.220446049250313e-16
VI,0,p2l,1.0011339083195305e-14,6.40883415118068e-16,2.498001805406602e-13,0.005719354294510572,1.1275702593849246e-17
VI,1,p2p,4.890675919678356e-15,5.5034481055621e-16,6.938893903907228e-15,0.00014758998866280792,8.881784197001252e-16
VI,1,p2l,3.5153329253568666e-15,1.0433615317601551e-15,1.457167719820518e-13,0.012322816646799533,6.938893903907228e-18
VI,2,p2p,2.1051822310762784e-15,4.0065331389874935e-16,6.938893903907228e-15,7.503589618933237e-05,6.38378239159465e-16
VI,2,p2l,1.0602473190862604e-14,4.857302946265266e-16,2.42861286636753e-13,0.007131266248724297,2.7755575615628914e-17
VI,3,p2p,4.342488185207702e-15,3.8585380539273963e-16,6.938893903907228e-15,0.00013497698569610653,2.5673907444456745e-16
VI,3,p2l,1.0596698234606159e-14,6.317169492632839e-16,2.5673907444456745e-13,0.005292952402950631,2.42861286636753e-17
VI,4,p2p,3.1897746743580085e-15,5.940295201215526e-16,6.938893903907228e-15,0.00024390325414973962,1.5265566588595902e-16
VI,4,p2l,1.0354307185868482e-14,4.498147004876083e-16,2.636779683484747e-13,0.006306525704366761,1.1102230246251565e-16
VI,5,p2p,3.1421567765703846e-15,1.6862554380372138e-15,2.7755575615628914e-14,0.00013553349087462932,2.0816681711721685e-16
VI,5,p2l,1.1595165065791183e-14,2.42745727540044e-16,2.914335439641036e-13,0.012692903550569963,1.5612511283791264e-17
VI,6,p2p,3.641455767807879e-15,5.981572672682691e-16,1.3877787807814457e-14,9.484469890037872e-05,2.220446049250313e-16
VI,6,p2l,9.848659570027135e-15,3.315273003100144e-16,2.220446049250313e-13,0.008889116380917585,1.0191500421363742e-16
VI,7,p2p,2.0961930098692152e-15,1.1370978455432345e-15,1.3877787807814457e-14,0.00014766998933949532,1.942890293094024e-16
VI,7,p2l,1.0354794676590339e-14,7.421621302612766e-16,2.636779683484747e-13,0.0018127667648503223,2.7755575615628914e-16
VI,8,p2p,2.6376761839599403e-15,7.655885470708345e-16,1.3877787807814457e-14,0.00010047963866426611,9.020562075079397e-17
VI,8,p2l,1.0201067186845663e-14,1.1160011167655924e-15,1.6653345369377348e-13,0.0043843257563030685,2.220446049250313e-16
VI,9,p2p,1.4882865131694587e-15,2.9418899004176046e-16,6.938893903907228e-15,4.715763402625417e-05,1.1102230246251565e-15
VI,9,p2l,7.984740705301381e-15,4.891348910980664e-16,1.942890293094024e-13,0.00387438583967859,2.7755575615628914e-17
VI,10,p2p,4.947912340440391e-15,8.206686842067307e-16,2.0816681711721685e-14,0.00013533544852392665,2.3592239273284576e-16
VI,10,p2l,1.0420570607940546e-14,8.549145795287469e-16,3.0531133177191805e-13,0.011081521847572705,6.938893903907228e-17
VI,11,p2p,1.4158656644730765e-15,3.122158154514777e-16,1.3877787807814457e-14,6.701541708033568e-05,1.6653345369377348e-15
VI,11,p2l,7.586480274349348e-15,6.423598437885216e-16,2.636779683484747e-13,0.013392408834583501,4.163336342344337e-17
VI,12,p2p,1.840257142783337e-15,5.331135360761259e-16,0.0,8.1590055582176e-05,5.551115123125783e-17
VI,12,p2l,8.968327528635039e-15,2.2104584061612097e-16,2.220446049250313e-13,0.0033801980860242043,8.326672684688674e-17
VI,13,p2p,3.436733269891221e-15,2.9009576056500254e-16,6.938893903907228e-15,0.0001360937507795465,1.8041124150158794e-16
VI,13,p2l,8.612386829708084e-15,2.2504166563567526e-16,2.3592239273284576e-13,0.007376853815011424,4.163336342344337e-17
VI,14,p2p,2.8645753649407172e-15,7.283358503475848e-16,6.938893903907228e-15,0.00017104325212519145,1.1102230246251565e-16
VI,14,p2l,8.296646046610187e-15,5.452968921468455e-16,1.942890293094024e-13,0.0023012935212081143,4.440892098500626e-16
VI,15,p2p,2.2732156126970506e-15,5.686422632202504e-16,2.0816681711721685e-14,0.00015351187604311332,1.5092094240998222e-16
VI,15,p2l,4.061261083883694e-15,5.837872408837613e-16,1.942890293094024e-13,0.004376213002412005,1.3877787807814457e-17
VI,16,p2p,5.923711721667905e-15,5.467702163606422e-16,6.938893903907228e-15,0.00015985285671057947,1.0269562977782698e-15
VI,16,p2l,1.3209101810559396e-14,8.201796125416816e-16,2.220446049250313e-13,0.013877543496737022,1.0408340855860843e-17
VI,17,p2p,3.5655116374970275e-15,1.062633514606401e-15,6.938893903907228e-15,0.0002518813860463154,5.551115123125783e-16
VI,17,p2l,9.684429971916916e-15,3.7675672426401834e-16,2.2898349882893854e-13,0.01130008397001374,8.326672684688674e-17
VI,18,p2p,4.723252133020193e-15,1.6605737420461618e-15,6.938893903907228e-15,3.0876689238979035e-05,2.6645352591003757e-15
VI,18,p2l,9.054406158663261e-15,4.2623514046621654e-16,2.3592239273284576e-13,0.005601047925423945,1.3877787807814457e-17
VI,19,p2p,3.532511332416108e-15,9.463380964553135e-16,2.0816681711721685e-14,0.00012501770692033287,1.3322676295501878e-15
VI,19,p2l,9.046861308441773e-15,5.174388282216526e-16,1.8041124150158794e-13,0.004069504864188216,2.0816681711721685e-17
VI,20,p2p,1.4642498616726453e-15,6.107198973939902e-16,1.3877787807814457e-14,0.0001611710114173548,1.1102230246251565e-16
VI,20,p2l,5.9144573479615605e-15,7.936238159884072e-16,1.3877787807814457e-13,0.006547663820147017,2.7755575615628914e-17
VI,21,p2p,1.8430710699456396e-15,4.073050593368535e-16,6.938893903907228e-15,0.0001242599408822348,6.938893903907228e-17
VI,21,p2l,1.0477340619591959e-14,3.7523343705858253e-16,2.0816681711721685e-13,0.010366633332068304,4.163336342344337e-17
VI,22,p2p,1.1314776909897296e-15,8.4335444509511895e-16,2.0816681711721685e-14,6.318639477873728e-05,2.7755575615628914e-16
VI,22,p2l,6.0511956249039895e-15,1.4585889418085652e-16,1.5959455978986625e-13,0.005598142691375013,6.245004513516506e-17
VI,23,p2p,3.5804820128950814e-15,1.4608450048062616e-16,6.938893903907228e-15,0.00012780526960928101,9.992007221626409e-16
VI,23,p2l,1.0997426161685225e-14,2.956434332050084e-16,2.0122792321330962e-13,0.006896104907285795,2.0816681711721685e-17
VI,24,p2p,2.1337363582934056e-15,3.024680139591802e-16,6.938893903907228e-15,7.8085630510425e-05,2.5673907444456745e-16
VI,24,p2l,8.502834429296831e-15,1.5898348949685958e-15,2.0122792321330962e-13,0.004736323650271308,3.469446951953614e-17
VI,25,p2p,1.856239564003836e-15,5.594883929963302e-16,6.938893903907228e-15,5.418250558971577e-05,2.6150956400350367e-16
VI,25,p2l,1.0240459583088438e-14,1.0410137200890348e-15,2.706168622523819e-13,0.004956325127392927,2.7755575615628914e-17
VI,26,p2p,4.868783990240976e-15,5.298638674507542e-16,1.3877787807814457e-14,0.0001608648796262227,5.551115123125783e-17
VI,26,p2l,9.010222936055615e-15,9.406619028375461e-16,2.706168622523819e-13,0.0037479630830521207,5.551115123125783e-17
VI,27,p2p,4.921939133009185e-15,6.821474618739456e-16,6.938893903907228e-15,7.729993306292149e-05,2.8449465006019636e-16
VI,27,p2l,5.129409577326603e-15,4.710602330170909e-16,1.942890293094024e-13,0.011446299858283836,4.163336342344337e-17
