comparison,trajectory,n,dt_med,dr_med,Tbetter_Rbetter_frac,Tbetter_Rbetter_n,Tbetter_Rworse_frac,Tbetter_Rworse_n,Tworse_Rbetter_frac,Tworse_Rbetter_n,Tworse_Rworse_frac,Tworse_Rworse_n
Patch_vs_Raw,VI,501,-43.5102795086748,0.28057350638390943,0.36327345309381237,182,0.6367265469061876,319,0.0,0,0.0,0
Patch_vs_Raw,IV,156,-33.630700956669884,-0.005688574583138761,0.5064102564102564,79,0.48717948717948717,76,0.0,0,0.00641025641025641,1
Patch_vs_Raw,II,428,-19.1030687120173,-0.38938717153810126,0.6985981308411215,299,0.22897196261682243,98,0.011682242990654205,5,0.06074766355140187,26
Patch_vs_Raw,III,371,-28.929768382518283,0.1939536888455855,0.40431266846361186,150,0.5902964959568733,219,0.0,0,0.005390835579514825,2
Patch_vs_Huber,VI,501,-29.839477366016993,0.8505814387332107,0.1536926147704591,77,0.8423153692614771,422,0.0,0,0.003992015968063872,2
Patch_vs_Huber,IV,156,-9.927292132129068,0.5118511018726208,0.08333333333333333,13,0.5705128205128205,89,0.0641025641025641,10,0.28205128205128205,44
Patch_vs_Huber,II,428,2.0180853132634837,0.3031847736627374,0.26401869158878505,113,0.2219626168224299,95,0.0794392523364486,34,0.43457943925233644,186
Patch_vs_Huber,III,371,-14.107351417414186,0.8542334176585904,0.03504043126684636,13,0.6981132075471698,259,0.029649595687331536,11,0.2371967654986523,88
Patch_vs_Trim,VI,501,-24.53318073395461,1.041573025345893,0.1217564870259481,61,0.8682634730538922,435,0.0,0,0.00998003992015968,5
Patch_vs_Trim,IV,156,-3.514974054787217,0.7453314927871482,0.019230769230769232,3,0.5128205128205128,80,0.07692307692307693,12,0.391025641025641,61
Patch_vs_Trim,II,428,4.987348578251716,0.27784970453545893,0.24065420560747663,103,0.2219626168224299,95,0.08644859813084112,37,0.45093457943925236,193
Patch_vs_Trim,III,371,-14.167072958634272,0.8879857463258549,0.0889487870619946,33,0.5876010781671159,218,0.029649595687331536,11,0.29380053908355797,109
PatchHuber_vs_Raw,VI,501,-58.820186219842256,-0.11332399041775609,0.5808383233532934,291,0.41916167664670656,210,0.0,0,0.0,0
PatchHuber_vs_Raw,IV,156,-57.71050563366502,-0.427912712322547,0.7307692307692307,114,0.2692307692307692,42,0.0,0,0.0,0
PatchHuber_vs_Raw,II,428,-25.701409397594755,-0.3477251607525452,0.6121495327102804,262,0.3060747663551402,131,0.06074766355140187,26,0.02102803738317757,9
PatchHuber_vs_Raw,III,371,-38.71697978559933,0.0860918357297189,0.4582210242587601,170,0.5417789757412399,201,0.0,0,0.0,0
