trajectory,level,method,n,boundary_any_n,boundary_any_frac,boundary_t_n,boundary_r_n,iter_cap_n,iter_cap_frac,posthoc
II,L1,Huber,80,0,0.0,0,0,56,0.7,0
II,L1,Patch,80,0,0.0,0,0,51,0.6375,0
II,L1,PatchHuber,80,0,0.0,0,0,59,0.7375,0
II,L1,Raw,80,0,0.0,0,0,58,0.725,0
II,L2,Huber,80,0,0.0,0,0,58,0.725,0
II,L2,Patch,80,0,0.0,0,0,53,0.6625,0
II,L2,PatchHuber,80,0,0.0,0,0,69,0.8625,0
II,L2,Raw,80,0,0.0,0,0,58,0.725,0
II,L3,Huber,80,0,0.0,0,0,66,0.825,0
II,L3,Patch,80,0,0.0,0,0,55,0.6875,0
II,L3,PatchHuber,80,0,0.0,0,0,70,0.875,0
II,L3,Raw,80,0,0.0,0,0,62,0.775,0
III,L1,Huber,80,0,0.0,0,0,48,0.6,1
III,L1,Patch,80,4,0.05,4,0,42,0.525,1
III,L1,PatchHuber,80,0,0.0,0,0,67,0.8375,1
III,L1,Raw,80,4,0.05,4,0,44,0.55,1
III,L2,Huber,80,0,0.0,0,0,60,0.75,1
III,L2,Patch,80,4,0.05,4,0,44,0.55,1
III,L2,PatchHuber,80,0,0.0,0,0,66,0.825,1
III,L2,Raw,80,4,0.05,4,0,45,0.5625,1
III,L3,Huber,80,0,0.0,0,0,71,0.8875,1
III,L3,Patch,80,4,0.05,4,0,50,0.625,1
III,L3,PatchHuber,80,0,0.0,0,0,65,0.8125,1
III,L3,Raw,80,4,0.05,4,0,56,0.7,1
IV,L1,Huber,80,0,0.0,0,0,80,1.0,0
IV,L1,Patch,80,6,0.075,0,6,72,0.9,0
IV,L1,PatchHuber,80,0,0.0,0,0,79,0.9875,0
IV,L1,Raw,80,8,0.1,0,8,72,0.9,0
IV,L2,Huber,80,0,0.0,0,0,80,1.0,0
IV,L2,Patch,80,6,0.075,0,6,71,0.8875,0
IV,L2,PatchHuber,80,0,0.0,0,0,80,1.0,0
IV,L2,Raw,80,8,0.1,0,8,71,0.8875,0
IV,L3,Huber,80,0,0.0,0,0,80,1.0,0
IV,L3,Patch,80,6,0.075,0,6,68,0.85,0
IV,L3,PatchHuber,80,0,0.0,0,0,80,1.0,0
IV,L3,Raw,80,7,0.0875,0,7,70,0.875,0
VI,L1,Huber,80,0,0.0,0,0,76,0.95,0
VI,L1,Patch,80,0,0.0,0,0,31,0.3875,0
VI,L1,PatchHuber,80,0,0.0,0,0,72,0.9,0
VI,L1,Raw,80,0,0.0,0,0,49,0.6125,0
VI,L2,Huber,80,0,0.0,0,0,77,0.9625,0
VI,L2,Patch,80,0,0.0,0,0,45,0.5625,0
VI,L2,PatchHuber,80,0,0.0,0,0,76,0.95,0
VI,L2,Raw,80,0,0.0,0,0,52,0.65,0
VI,L3,Huber,80,0,0.0,0,0,77,0.9625,0
VI,L3,Patch,80,0,0.0,0,0,58,0.725,0
VI,L3,PatchHuber,80,0,0.0,0,0,75,0.9375,0
VI,L3,Raw,80,0,0.0,0,0,58,0.725,0
