trajectory,level,posthoc,Raw_n,Raw_et_med,Raw_eR_med,Raw_et_p90,Raw_eR_p90,Raw_dinit_t_med,Raw_dinit_t_iqr,Raw_dinit_r_med,Raw_dinit_r_iqr,Raw_boundary_frac,Raw_cap_frac,Huber_n,Huber_et_med,Huber_eR_med,Huber_et_p90,Huber_eR_p90,Huber_dinit_t_med,Huber_dinit_t_iqr,Huber_dinit_r_med,Huber_dinit_r_iqr,Huber_boundary_frac,Huber_cap_frac,Patch_n,Patch_et_med,Patch_eR_med,Patch_et_p90,Patch_eR_p90,Patch_dinit_t_med,Patch_dinit_t_iqr,Patch_dinit_r_med,Patch_dinit_r_iqr,Patch_boundary_frac,Patch_cap_frac,PatchHuber_n,PatchHuber_et_med,PatchHuber_eR_med,PatchHuber_et_p90,PatchHuber_eR_p90,PatchHuber_dinit_t_med,PatchHuber_dinit_t_iqr,PatchHuber_dinit_r_med,PatchHuber_dinit_r_iqr,PatchHuber_boundary_frac,PatchHuber_cap_frac,PatchRaw_gain_t_med,PatchRaw_gain_t_frac_pos,PatchRaw_gain_r_med,PatchRaw_gain_r_frac_pos,PHHuber_gain_t_med,PHHuber_gain_t_frac_pos,PHHuber_gain_r_med,PHHuber_gain_r_frac_pos
VI,L1,0,80,160.54725822754935,4.342932542981349,173.2002111846959,5.10821873583217,-0.00496567817644685,0.09077560579329705,0.00366407861102485,0.0728245079777017,0.0,0.6125,80,149.272685478396,3.7349592786597006,159.04798919208451,4.622077922114601,-0.0085726863868416,0.0968645381284787,0.00585876807994485,0.10377842600113332,0.0,0.95,80,115.24775718253238,4.5438991944888,126.25397505368845,5.675740339598184,-0.0016088388065611,0.10280797665980387,0.0010045043001094,0.06733852554898537,0.0,0.3875,80,102.24933344770866,4.032658511135443,113.70701817056575,5.271258053995027,-0.00172624524270045,0.24726412592797328,0.0029027359228261497,0.11164731625548191,0.0,0.9,45.03718292788016,1.0,-0.24441577910370826,0.35,50.04269763764345,1.0,-0.5773180730286445,0.4
VI,L2,0,80,160.70589467538008,4.403176667248785,173.16948565506488,5.121006024856104,-0.01748561019863355,0.2543322494644825,0.0036462029503056496,0.2057179065583301,0.0,0.65,80,149.07473071717797,3.7653888772795723,159.06015538358668,4.710238655440108,-0.02608034415136725,0.2838384010202261,0.010775723120716799,0.43047300175821007,0.0,0.9625,80,115.3111210964235,4.580610115650211,126.20807349452748,5.678497627963971,-0.01312527293379865,0.2053644187869707,0.0024623634188758,0.22363112409313907,0.0,0.5625,80,103.07007932368758,4.111981557521663,112.83843140533583,5.341717889957095,-0.02866713782800185,0.5514538912338834,0.005310801797940599,0.3694092374867467,0.0,0.95,44.74208959866649,1.0,-0.25477386320058604,0.375,49.963770863159574,1.0,-0.5911419413321966,0.3875
VI,L3,0,80,160.79194708115256,4.381227503126233,173.20065851417203,5.153446225124014,-0.0144929521958374,0.3402220118237692,0.00196907046259895,0.3140854994766684,0.0,0.725,80,149.0734604813665,3.719524065276947,158.97431009803188,4.820502575002097,-0.0243498811448148,0.3675927414326878,0.0307484104837536,0.6093938503078546,0.0,0.9625,80,115.359367001253,4.486045724106305,126.04244788567784,5.765917474911997,0.00139500166988425,0.370590329967289,-0.0010672624150078,0.3169954986833142,0.0,0.725,80,103.48744501177696,4.009988520334176,112.32496666817836,5.580462676473222,0.00274418236408985,0.892456628350331,0.0083559971337441,0.6718550520373292,0.0,0.9375,44.58386489637318,1.0,-0.20761561823510744,0.375,49.914346394248085,1.0,-0.5577974496073121,0.375
IV,L1,0,80,151.79427454229932,2.315567889825135,178.35636801959654,5.740887755601545,-0.0106317846703234,0.47442935699606886,0.017573106055499048,0.16640497340482546,0.1,0.9,80,105.12608519236582,1.9286164926880631,133.72275026545907,3.2171775521437946,0.028486806246846203,2.517526820053522,0.003207554481664067,0.39906548404909636,0.0,1.0,80,139.90256348788165,1.8256767250192025,177.34206202063694,5.988476145127517,0.0015269266527084499,0.4873260892825222,-0.00419134310329465,0.15167372051625078,0.075,0.9,80,110.45249870593034,1.979958792449232,125.62109669722881,4.2418993985474,0.0439448244948579,2.6472304055119054,0.01913860493993155,0.2950307132315605,0.0,0.9875,5.013500465267299,0.725,0.3275092956567178,0.85,-3.215504156208219,0.375,-0.2912639552456746,0.325
IV,L2,0,80,151.72828647788037,2.308037513528084,179.45519963015877,5.806403692555611,0.0286311466818034,1.3690479516135952,0.028175826946105847,0.3049275718816572,0.1,0.8875,80,107.7949362619452,1.9661123148225976,133.84515280892984,3.2360295104698547,-0.12218409299418195,8.545962107634217,0.0420573242837044,0.7822834967524044,0.0,1.0,80,139.70994431410435,1.8139457525792677,176.12987532483876,6.0068601851336645,0.0219793267368686,1.4841355423351672,0.0010075814562542026,0.32301548282979614,0.075,0.8875,80,112.13949294188086,2.1702048718898266,129.47483564692016,4.187639607549366,0.2823259899794408,8.102806652368681,0.0570337161656406,0.5080875687965598,0.0,1.0,5.171990561364922,0.7625,0.30479257478741084,0.85,-3.6370834043895712,0.3875,-0.3216312456199424,0.3625
IV,L3,0,80,151.24633287307785,2.3690872568160364,179.65138649734763,5.799943838371547,-0.0100368617262347,2.469598821361963,0.0231093278376639,0.6463581176431166,0.0875,0.875,80,108.79904426851418,2.1840899730941823,134.20083816514835,3.666078617689882,0.0863233419340048,14.70229761157487,0.06846092909210405,1.4641113828354966,0.0,1.0,80,140.3804363677885,2.017294153876027,176.08693973620237,6.006702689548278,0.03907027954920745,2.12384224402469,-0.02224734833787765,0.6065084914721657,0.075,0.85,80,112.57701733434806,2.352426973566856,133.9455092208145,4.2562938539759525,0.8639457028797679,13.322970333519944,0.1591408205212442,1.049346458619843,0.0,1.0,5.829543911270065,0.7625,0.3045473252202576,0.875,-2.7562548958148554,0.4125,-0.2426483813829905,0.3375
II,L1,0,80,60.56443435723048,1.6363836977253126,99.05829172966358,4.6846032966375475,0.00026954030123245,0.11882177365708105,0.0005666314795067,0.029654204877468553,0.0,0.725,80,31.57669660484013,0.856659185572993,70.39686055338707,1.254884098819704,-0.0245520471293998,0.3195071265822075,0.0050771415320651995,0.049897739869200146,0.0,0.7,80,47.277548799023286,1.6645072269885828,81.48857094660586,4.331887500384146,0.0035057775069553,0.08980816436919342,0.00045633857287835,0.023562681970619448,0.0,0.6375,80,32.05269439429067,1.2553355553048324,46.077821363534895,2.4054439835166046,-0.0016668587047696994,1.1020985765127094,0.0049326665051938005,0.0949376272502719,0.0,0.7375,9.636547898022307,0.85,-0.30990769997174517,0.45,6.258418734245961,0.6125,-0.6080770529100663,0.175
II,L2,0,80,60.52266088748226,1.6424489014450352,99.50909272085563,4.7670222879354505,0.00346318735563495,0.23792371271167392,0.0026978807446789016,0.08451124842167854,0.0,0.725,80,31.536471640205892,0.9362225868091096,70.6672971726608,1.2705153033046372,0.024310095732698,0.6543841348885593,0.0292994867878742,0.13480220912192142,0.0,0.725,80,47.99312549979295,1.6746286531358314,81.49280184367491,4.425528051600365,0.03123416156841325,0.21882472941558173,0.00232927797744305,0.05683173464351557,0.0,0.6625,80,32.254438161135795,1.4067396168834345,46.1507451741701,2.4395869047993495,0.2045612897822337,1.7807073273088188,0.0308409468681112,0.1494012719430559,0.0,0.8625,9.707299736291787,0.85,-0.2777617395586285,0.45,3.534565853995119,0.5625,-0.5974628372750952,0.1375
II,L3,0,80,60.19470847274306,1.6296067221225234,100.01031239462871,4.92631547115336,0.0041749476701298,0.37462247057451487,0.027185862479838,0.16048165109819598,0.0,0.775,80,31.80886257323202,1.073353669894689,70.60628089292975,1.4162589225074813,0.13180018452957393,1.2743452810373581,0.1036608841511973,0.2757371471216281,0.0,0.825,80,49.56523225130361,1.689359742447309,81.53331716933536,4.4792052907617705,0.026577623246279047,0.31951360733178535,0.009637197489394601,0.13111046222089243,0.0,0.6875,80,33.32552660735445,1.7071188384315428,46.517648173193464,2.4979094819247023,0.4359512306968049,2.6898107821300012,0.067738505755602,0.32161444193411487,0.0,0.875,9.628192796976332,0.85,-0.2018225704428531,0.4375,2.769135043234174,0.5875,-0.5906094067460739,0.175
III,L1,1,80,49.21953915293139,1.5778528617419498,102.96877524650579,2.7553163778334677,0.0116111369263407,0.12863544226588342,0.0030222494372338,0.038159806481958526,0.05,0.55,80,29.83599955293341,0.9295562712158978,73.17198495099018,1.529262239449505,0.0023866462590049,0.19571606250317675,0.01311731224897825,0.0879319840402785,0.0,0.6,80,40.16514992473831,1.9242879068934982,77.38485998027862,3.923878505764671,-0.0037469784174088503,0.11922942581902776,0.0019610086333231,0.017655615314963798,0.05,0.525,80,34.50870222126855,1.728051339306358,47.20179925375936,2.8971240697932013,-0.0449240290751742,0.36353077916565546,-0.0020935707445126,0.0806177503853378,0.0,0.8375,7.836170918435869,0.675,-0.2888693060409019,0.35,1.9121579158384918,0.5,-0.8528565313154562,0.075
III,L2,1,80,49.24594759108028,1.5740100991754078,102.9310871854004,2.8316240932249386,-0.00332085100057355,0.2943080966015791,0.0221562938873378,0.08986144865262127,0.05,0.5625,80,29.439789639669243,0.9678761556610083,73.38343653380883,1.577252179484161,0.04182065076973625,0.4200837164769901,0.022609574322866997,0.19619743374405943,0.0,0.75,80,40.123324744131196,1.931384398125937,77.99399938254614,3.9270197873775965,-0.0386958398828625,0.2677202653620698,0.0050732309655174505,0.07197813124539312,0.05,0.55,80,34.22796444732733,1.6957099486327958,47.38865617573066,2.8736033557600527,-0.05489047033359635,1.085803433125938,-0.016449189196115002,0.21666030834014266,0.0,0.825,8.050445200177446,0.6625,-0.24661183497259176,0.35,2.1096323074190497,0.5,-0.8399874152523843,0.1
III,L3,1,80,49.25794452055992,1.691663665398181,103.2946927455937,2.997619280850021,-0.01943804136317335,0.4799238714573554,0.0390595906185363,0.14401166212533056,0.05,0.7,80,28.945344228014214,0.9909720834781558,73.65017056433706,1.6545128657037895,0.08973108723560824,0.6942485735140627,0.03417847339805885,0.2854421131825412,0.0,0.8875,80,40.015413107240946,2.0000000000000004,78.1552169661357,3.9135306215606285,-0.019394157868108,0.45342052463757726,0.01661230976954025,0.11516263742264443,0.05,0.625,80,34.8506280274707,1.7575440951563155,49.04423967384669,2.9278040134294026,0.046707790475617,2.0119267943618118,0.00204414100373835,0.3491544875285912,0.0,0.8125,8.449216866556913,0.6625,-0.2625603159298975,0.3375,1.5349065275771867,0.5125,-0.7810863364010534,0.0875
