trajectory,block,n,globalvec_et_med,patch_et_med,block_d_t_med,block_patch_better_frac,posthoc
II,0,50,74.16732052477566,38.65335537036603,35.680363077087634,1.0,0
II,1,50,31.98346081276835,40.20806056767968,-10.983993894343914,0.12,0
II,2,50,67.22009241759272,76.27406296780603,-8.228495336527118,0.0,0
II,3,50,50.48630232905107,46.54409533290669,2.882854222722223,0.82,0
II,4,50,51.726629184179586,32.41111376676234,19.265065964481092,1.0,0
II,5,50,46.89593764098828,35.311931385330496,10.51004165110162,0.64,0
II,6,50,73.16606410308022,88.89010703610367,-15.087074152450615,0.32,0
II,7,50,41.463864829838315,41.217285478730474,-1.6349325070129481,0.38,0
II,8,28,36.022387634993414,47.65376273732501,-11.790251619950496,0.14285714285714285,0
III,0,50,68.46979481631882,59.872028014755415,7.439300771730622,0.78,1
III,1,50,79.12866050989294,62.78762958451281,15.084407448598625,1.0,1
III,2,50,70.01832881235497,45.22750367723258,25.05807236405933,1.0,1
III,3,50,62.3558644042715,22.44160637825305,41.044873620631385,1.0,1
III,4,50,55.79619593012184,17.860576731808084,39.209766813108146,1.0,1
III,5,50,53.02021149213435,23.963873514890302,29.108772182694988,1.0,1
III,6,50,54.10470628254201,49.17639577861411,-2.000330578306226,0.48,1
III,7,21,86.55290722463823,58.51130155117774,20.47571235371528,0.6666666666666666,1
IV,0,50,143.00132488450257,120.49021037123283,22.26731717843562,1.0,0
IV,1,50,147.21868558678273,120.5265036175322,25.3137339454738,1.0,0
IV,2,50,153.57616860697027,142.29249559345453,13.409490873323321,0.94,0
IV,3,6,153.54671748313908,146.52729836328137,9.088384962014288,1.0,0
VI,0,70,134.5484373400111,111.17278296418343,24.591128829596478,1.0,0
VI,1,70,135.58155062266962,110.49228072619013,24.745041692752316,1.0,0
VI,2,79,151.24807475438143,123.63434041915492,28.953153671501752,1.0,0
VI,3,96,157.62511665902525,122.54133485006295,38.44891323788888,1.0,0
VI,4,103,162.5484695535151,117.66796238468564,44.34763715917818,1.0,0
VI,5,83,163.8907358026728,113.90884206317152,49.86924999984561,1.0,0
