trajectory,block,n,block_gain_t_med,block_Dt_med,ph_better_frac,posthoc
II,0,50,53.492807346972775,-53.492807346972775,1.0,0
II,1,50,4.425490248603346,-4.425490248603346,0.76,0
II,2,50,3.9022966924017126,-3.9022966924017126,0.78,0
II,3,50,11.828102262771207,-11.828102262771207,1.0,0
II,4,50,10.82422742051192,-10.82422742051192,1.0,0
II,5,50,3.6331150104331584,-3.6331150104331584,0.82,0
II,6,50,0.9222831386045343,-0.9222831386045343,0.5,0
II,7,50,-13.275113192168417,13.275113192168417,0.16,0
II,8,28,1.9474441806998026,-1.9474441806998026,0.7142857142857143,0
III,0,50,16.111274250928954,-16.111274250928954,1.0,1
III,1,50,17.69316553552853,-17.69316553552853,1.0,1
III,2,50,36.978040372909604,-36.978040372909604,1.0,1
III,3,50,37.722157483250676,-37.722157483250676,1.0,1
III,4,50,25.324486651374706,-25.324486651374706,1.0,1
III,5,50,18.81559115440691,-18.81559115440691,1.0,1
III,6,50,-12.217120139092742,12.217120139092742,0.26,1
III,7,21,-0.7476153362449196,0.7476153362449196,0.2857142857142857,1
IV,0,50,35.09508349920641,-35.09508349920641,1.0,0
IV,1,50,34.0074480654955,-34.0074480654955,1.0,0
IV,2,50,25.758679683410286,-25.758679683410286,1.0,0
IV,3,6,7.251000297428384,-7.251000297428384,1.0,0
VI,0,70,42.28372585101233,-42.28372585101233,1.0,0
VI,1,70,41.76822111625632,-41.76822111625632,1.0,0
VI,2,79,43.99813544787531,-43.99813544787531,1.0,0
VI,3,96,48.38053081039001,-48.38053081039001,1.0,0
VI,4,103,46.12023646877964,-46.12023646877964,1.0,0
VI,5,83,47.3264724275686,-47.3264724275686,1.0,0
