experiment,trajectory,configuration,translation_median_mm,rotation_median_deg,paired_translation_effect_mm,paired_rotation_effect_deg,n_frames,n_blocks,seed
01_patch_count,VI,patch_count=12,120.8884726463731,4.122076847284395,38.626874957469525,-0.1470474553453558,501.0,6.0,42
01_patch_count,IV,patch_count=12,128.7060758882237,3.492550443563679,31.50883705997626,-0.4435832654225733,156.0,4.0,42
01_patch_count,II,patch_count=12,46.846334625798704,1.3591047632850315,20.00073786950531,-0.3526880125891016,428.0,9.0,42
01_patch_count,III,patch_count=12,35.90435796708241,1.8346269541306175,27.731827425330778,-0.0023606277525325,371.0,8.0,42
01_patch_count,VI,patch_count=18,115.53807974649736,4.548432583663639,46.04265508984075,0.1390224219451372,501.0,6.0,42
01_patch_count,IV,patch_count=18,122.8633735113482,3.867294312299818,34.763690264195525,-0.1727996282096562,156.0,4.0,42
01_patch_count,II,patch_count=18,44.24774431959982,1.4076512880191214,22.311629642934463,-0.4407530223673416,428.0,9.0,42
01_patch_count,III,patch_count=18,31.448006230116675,2.354128732374981,33.548430764419166,0.332983740491767,371.0,8.0,42
01_patch_count,VI,patch_count=24,116.81527871617058,4.66731556808484,43.5102795086748,0.2805735063839094,501.0,6.0,42
01_patch_count,IV,patch_count=24,126.26002467918384,4.000362743729728,33.63070095666989,-0.0056885745831387,156.0,4.0,42
01_patch_count,II,patch_count=24,41.77723740078632,1.2694027224561912,19.1030687120173,-0.3893871715381012,428.0,9.0,42
01_patch_count,III,patch_count=24,41.29782690845897,2.116023558976764,28.929768382518283,0.1939536888455855,371.0,8.0,42
01_patch_count,VI,patch_count=32,108.2005947046426,4.522505420867474,52.47158763258638,0.1410148454882733,501.0,6.0,42
01_patch_count,IV,patch_count=32,122.34619198541677,4.080737738623524,36.81674792287394,0.0400409066088349,156.0,4.0,42
01_patch_count,II,patch_count=32,48.988587578971874,1.7374074637579031,24.33674331600117,0.0,428.0,9.0,42
01_patch_count,III,patch_count=32,33.69414542038127,2.1635683332670297,31.61065205949327,0.3636637600415424,371.0,8.0,42
01_patch_count,VI,patch_count=48,103.71960959790763,4.634911631540682,56.803703452490566,0.3002505357359091,501.0,6.0,42
01_patch_count,IV,patch_count=48,119.23538840690888,4.22353526435351,40.607024942709806,0.2484297676703282,156.0,4.0,42
01_patch_count,II,patch_count=48,50.43704594153577,1.6092649199152016,14.54502095536839,-0.1348746189178646,428.0,9.0,42
01_patch_count,III,patch_count=48,40.02933036405415,2.274878302724835,23.232023102660648,0.4682884294388509,371.0,8.0,42
02_normal_weight,VI,normal_weight=0.0,122.67914538859144,4.53254231458579,39.07506637578689,0.1741888111177472,501.0,6.0,42
02_normal_weight,IV,normal_weight=0.0,130.0278531493376,3.795145528020061,31.775004605203584,-0.1497262461663231,156.0,4.0,42
02_normal_weight,II,normal_weight=0.0,47.57196012120952,1.3588440123337144,19.083033415320337,-0.3726069821273686,428.0,9.0,42
02_normal_weight,III,normal_weight=0.0,37.169674880206095,1.8848668139251363,32.19865900293103,0.0658416767488081,371.0,8.0,42
02_normal_weight,VI,normal_weight=0.15,121.84942691172505,4.232598269794708,39.08585876241197,-0.2031054977094406,501.0,6.0,42
02_normal_weight,IV,normal_weight=0.15,127.80747467552824,3.595076355251654,32.91960660514337,-0.4098741773492402,156.0,4.0,42
02_normal_weight,II,normal_weight=0.15,46.96019234217904,1.0833508254961135,17.9310267938801,-0.6580873774645896,428.0,9.0,42
02_normal_weight,III,normal_weight=0.15,38.74635148974165,1.8760804183845248,31.37669231768536,0.1351442495328489,371.0,8.0,42
02_normal_weight,VI,normal_weight=0.3,116.81527871617058,4.66731556808484,43.5102795086748,0.2805735063839094,501.0,6.0,42
02_normal_weight,IV,normal_weight=0.3,126.26002467918384,4.000362743729728,33.630700956669884,-0.0056885745831387,156.0,4.0,42
02_normal_weight,II,normal_weight=0.3,41.77723740078632,1.2694027224561912,19.1030687120173,-0.3893871715381012,428.0,9.0,42
02_normal_weight,III,normal_weight=0.3,41.29782690845897,2.116023558976764,28.929768382518283,0.1939536888455855,371.0,8.0,42
02_normal_weight,VI,normal_weight=0.6,103.67667632363334,4.597179639371587,56.207898026537165,0.2322207135219409,501.0,6.0,42
02_normal_weight,IV,normal_weight=0.6,115.66989789927896,4.190157698031184,40.74680439746667,0.1937577727521595,156.0,4.0,42
02_normal_weight,II,normal_weight=0.6,48.85489021756971,1.6266298503672902,18.390581512516786,-0.0864147947947981,428.0,9.0,42
02_normal_weight,III,normal_weight=0.6,37.2859696443161,2.337348480044111,27.536804994141317,0.3196076128182405,371.0,8.0,42
02_normal_weight,VI,normal_weight=1.0,102.5189588051852,4.436126740824419,57.66428061752431,-0.00742011976791,501.0,6.0,42
02_normal_weight,IV,normal_weight=1.0,115.15457802902498,4.076700491680034,41.90507976732108,0.0956872282560321,156.0,4.0,42
02_normal_weight,II,normal_weight=1.0,48.43654972055184,1.6254233972264474,22.20297103711721,-0.177172214735768,428.0,9.0,42
02_normal_weight,III,normal_weight=1.0,37.16747514745277,2.098988042211026,26.40039261964631,0.3001308501260529,371.0,8.0,42
03_seed_sensitivity,VI,clustering_seed=0,117.5060187225603,4.559906660166461,43.16099826517439,0.1089176385809045,501.0,6.0,0
03_seed_sensitivity,IV,clustering_seed=0,125.2596310304696,4.055618246346784,33.402952435417106,-0.0553374831678807,156.0,4.0,0
03_seed_sensitivity,II,clustering_seed=0,45.03024606889525,1.5120084744909188,27.696292250299,-0.2208437536896262,428.0,9.0,0
03_seed_sensitivity,III,clustering_seed=0,31.736087644558765,2.400182913168818,30.58188095418683,0.5308173799814522,371.0,8.0,0
