scan_id,timestamp,range_m,point_count,median_residual_m,p90_residual_m,p95_residual_m,max_residual_m,mean_residual_m,std_residual_m,excess_return_count,excess_return_fraction,missing_proxy,dt_seconds,r1_frac,r2_backface_frac,r3_fov_frac,r4_structured_frac,large_noise_frac,model_backface_frac,model_fov_trunc_frac,model_visible_frac,r4_point_count,large_noise_count,mean_signed_residual
0,1751982768.6,14.787682614872995,9187,0.058274943910773855,0.13646924039568947,0.16536539377275658,0.7284170667864389,0.07135230762990988,0.06314538591850334,23,0.0025035376074888428,0.6127510917030567,0.0,0.17644497659736585,0.12920431043866332,0.0,0.6920648742788723,0.002285838685098509,0.49388536908796227,0.0,0.5061146309120377,6358,21,-0.03296042314790237
1,1751982769.68,14.788001741808696,8693,0.06196838805186724,0.137277696476432,0.16639521574951127,0.7361395812829976,0.07292187509494194,0.06268659424567251,26,0.00299091222822961,0.6367009465934322,1.0800001621246338,0.1497756815828828,0.1356263660416427,0.0,0.7122972506614518,0.002300701714022777,0.4956829232355975,0.0,0.5043170767644025,6192,20,-0.03528770532368123
2,1751982770.92,14.788338155253314,10100,0.061338424629946806,0.15092863183576613,0.1958656595562044,0.7320271661522046,0.07646123516649006,0.06818448563320811,35,0.0034653465346534654,0.5751711342844348,1.2400000095367432,0.1606930693069307,0.13623762376237625,0.0,0.7001980198019802,0.0028712871287128712,0.5393841166936791,0.0,0.4606158833063209,7072,29,-0.04024011710739381
3,1751982772.16,14.788506018623146,10446,0.06207648483728295,0.17044123910525671,0.22754933403521344,0.7368170879525141,0.08205458169046308,0.07409976415180915,39,0.003733486502010339,0.5657671897933838,1.2400000095367432,0.14072372199885125,0.12645988895270918,0.0,0.7301359372008425,0.0026804518475971664,0.47800206276705465,0.0,0.5219979372329453,7627,28,-0.04613759518664584
4,1751982773.399,14.788753728996673,10627,0.058006857765966396,0.15497663884749946,0.2054557142280162,0.7348838906617963,0.07590976484631146,0.06846343666743222,26,0.002446598287381199,0.5579869325222485,1.238999843597412,0.16401618518867037,0.12120071515949939,0.0,0.712430601298579,0.002352498353251153,0.4768233387358185,0.0,0.5231766612641815,7571,25,-0.04317964184597932
5,1751982774.624,14.789051855296234,10360,0.05933055767926464,0.1493089629939574,0.20951521228172434,0.69782787506629,0.07516362955348518,0.06872475912726209,31,0.002992277992277992,0.5431167881158034,1.2250001430511475,0.17017374517374517,0.12577220077220078,0.0,0.7025096525096525,0.0015444015444015444,0.47630764697215267,0.0,0.5236923530278473,7278,16,-0.040968605686714225
6,1751982775.864,14.789360200198452,9729,0.06441834628770135,0.15073035915097177,0.22099874930751384,0.7319699818063417,0.07888605116199097,0.071015088810687,36,0.0037002775208140612,0.5671221298774475,1.2400000095367432,0.14831945729263027,0.13999383287079864,0.0,0.7083975742625142,0.0032891355740569434,0.4770148813908944,0.0,0.5229851186091057,6892,32,-0.03972140185615569
7,1751982777.104,14.789622644536946,9546,0.0669479795160809,0.14900636079370225,0.20452090101795276,0.7159890613069971,0.07847790314536468,0.0664453114231171,21,0.0021998742928975488,0.6008411663420555,1.2400000095367432,0.1376492771841609,0.1418395139325372,0.0,0.718730358265242,0.0017808506180599204,0.47801679681744513,0.0,0.5219832031825549,6861,17,-0.040552374431277106
8,1751982778.344,14.78997024284914,9250,0.06511602445169049,0.15445966177520098,0.1974332516304404,0.7401268261937695,0.07932784856192708,0.07076803741375672,41,0.004432432432432433,0.5899236144969934,1.2400000095367432,0.14075675675675675,0.1557837837837838,0.0,0.7015135135135135,0.0019459459459459458,0.5467069397377339,0.0,0.4532930602622661,6489,18,-0.04005124749587428
9,1751982779.584,14.790316863205534,9503,0.0676217180594151,0.1740823512149668,0.2187813515747611,0.7481662105727945,0.0853362811600988,0.07340660005684493,33,0.0034725876039145534,0.5866628911227524,1.2400000095367432,0.13164263916657898,0.12827528149005576,0.0,0.736714721666842,0.003367357676523203,0.47966701046117577,0.0,0.5203329895388242,7001,32,-0.05023601273353638
10,1751982780.824,14.790682493768198,10394,0.07068036146399223,0.18403931727469505,0.2311924534744337,0.7378881214840028,0.08706050609362107,0.07677625448587756,39,0.0037521647104098517,0.5569916748977,1.239999771118164,0.14325572445641716,0.12555320377140658,0.0,0.728882047335001,0.0023090244371752936,0.4778989244143215,0.0,0.5221010755856785,7576,24,-0.05499125773944441
11,1751982782.064,14.790937373434788,11500,0.07105059813131215,0.15546650846918816,0.20067949007089828,0.7509246381393575,0.08097889256290493,0.06886759782875909,41,0.0035652173913043477,0.5268116555245268,1.2400000095367432,0.1554782608695652,0.11521739130434783,0.0,0.7271304347826087,0.002173913043478261,0.47766317960807425,0.0,0.5223368203919257,8362,25,-0.04938731563492316
12,1751982783.143,14.791259645065697,10142,0.0710725766588337,0.14738251236085476,0.18440512650334423,0.7463639479340602,0.07879124993605219,0.06220524329073456,21,0.0020705975152829816,0.5449339952611982,1.0789999961853027,0.1393216328140406,0.11703805955432854,0.0,0.7403865115361862,0.0032537960954446853,0.4776484455576838,0.0,0.5223515544423162,7509,33,-0.04986235495985875
13,1751982784.217,14.791436910233736,9300,0.07730442652485345,0.17208541547034725,0.21668077112981976,0.7331861453388318,0.08697566633040099,0.06984225622319189,28,0.003010752688172043,0.584641937583114,1.0740001201629639,0.1243010752688172,0.1272043010752688,0.0,0.7465591397849463,0.001935483870967742,0.4792544570502431,0.0,0.5207455429497568,6943,18,-0.05480877621148542
14,1751982785.297,14.791616300035809,8564,0.07545000716496386,0.2021736754732042,0.24463474549095826,0.7449140929628596,0.09094443636187378,0.07650871538736412,25,0.002919196637085474,0.6335971969893589,1.0799999237060547,0.1285614198972443,0.14093881363848668,0.0,0.726879962634283,0.003619803829985988,0.5458376307646973,0.0,0.4541623692353028,6225,31,-0.05730930604012295
15,1751982786.557,14.791878893364629,9367,0.066002926124521,0.1778901190472905,0.23325425967479482,0.7447952701825741,0.08501448141506203,0.0776555707624879,45,0.0048040994982384965,0.6079459628922393,1.2599999904632568,0.14006618981530905,0.12277143162165048,0.0,0.7332123411978222,0.00395003736521832,0.48302637395019893,0.0,0.5169736260498011,6868,37,-0.04851116381660853
16,1751982787.812,14.792215696262714,9699,0.06270824231659228,0.17551660951598222,0.23435802664529065,0.7516200636189055,0.08213733104696908,0.07669951686405747,39,0.004021033096195484,0.5626187842169461,1.255000114440918,0.151149603051861,0.12506443963295186,0.0,0.7217238890607279,0.0020620682544592226,0.48058052158538384,0.0,0.5194194784146162,7000,20,-0.04419044097921698
17,1751982789.072,14.792520473081353,10025,0.06250146501465598,0.16585063761894106,0.22397778895820183,0.7415892330065904,0.07948172698177212,0.07398704906605688,36,0.0035910224438902745,0.54356705241661,1.2599999904632568,0.16508728179551121,0.12448877805486284,0.0,0.707930174563591,0.0024937655860349127,0.4805363194342125,0.0,0.5194636805657875,7097,25,-0.040699549319823336
18,1751982790.323,14.792908164906384,10147,0.06273014728762448,0.1645437432743266,0.2174961751694855,0.7377847439662145,0.07806840649568082,0.07288650159865144,42,0.004139154429880753,0.534651777342085,1.250999927520752,0.17867349955651918,0.12614565881541343,0.0,0.6924214053414802,0.0027594362865871686,0.481464564608811,0.0,0.5185354353911891,7026,28,-0.03992777896519367
