scan,range_m,n,ux,uy,uz,ts
0,16.78105861472506,9515,0.9999215288559784,0.006811736955305157,-0.010513627821752766,1751968159.667
1,16.781934808110805,9491,0.9999208759394274,0.005927388809466515,-0.011095400958479303,1751968160.676
2,16.782806089347837,9473,0.9999202219582991,0.004993817603348184,-0.011602219813917595,1751968161.679
3,16.78359769093364,9509,0.9999195309721491,0.004018494873492411,-0.01203259238024507,1751968162.694
4,16.784337717899167,9454,0.999918779099575,0.0030069804351432164,-0.012385203780240066,1751968163.703
5,16.785075978549447,9463,0.9999179762819422,0.0019628764913919125,-0.0126565328627168,1751968164.712
6,16.785810262864903,9502,0.9999171493517107,0.0008915810389946752,-0.012841320633008742,1751968165.726
7,16.78651736348577,9467,0.9999163173924108,-0.00020126385175387403,-0.012935134528170057,1751968166.735
8,16.787207129631074,9455,0.999915512386537,-0.0013067569001432233,-0.012932922143630994,1751968167.744
9,16.787883554473268,9478,0.9999147742569751,-0.0024115580617113308,-0.012830768111752796,1751968168.757
10,16.788539089807813,9491,0.9999140655088304,-0.003503730344682122,-0.012632714327262777,1751968169.767
11,16.78947081682031,9450,0.9999131041387398,-0.004931073032288644,-0.012225738848015715,1751968170.776
12,16.79018957963882,9458,0.999912391774849,-0.005971331157731956,-0.011813212065552779,1751968171.779
13,16.790888261645904,9497,0.9999116956249382,-0.006976394258057464,-0.011310653191435933,1751968172.794
14,16.791579157774112,9448,0.9999110074113927,-0.007935723172712716,-0.010723877808884369,1751968173.803
15,16.792270347575307,9435,0.9999103282425137,-0.008841348935345173,-0.010058132180077681,1751968174.812
16,16.793029260518605,9499,0.9999096227069857,-0.009693213822516691,-0.009316009004092693,1751968175.826
17,16.794023712424792,9424,0.9999090564251247,-0.010604199184509944,-0.00833245694089977,1751968176.834
18,16.794957457709682,9422,0.9999088882813858,-0.01155565483755882,-0.0069772471045875814,1751968177.844
19,16.795899103534804,9439,0.9999086041905617,-0.01246828052760224,-0.00522735558072819,1751968178.857
20,16.796784600745497,9378,0.9999073888109673,-0.01325727656029398,-0.0030754543464021934,1751968179.867
21,16.797567319730707,9380,0.9999041646258933,-0.013834179630762567,-0.0005263437454131741,1751968180.876
22,16.798203500615948,9373,0.9998975496822421,-0.014111581701950373,0.0023986248804876618,1751968181.883
23,16.79871767807668,9380,0.9998858993466327,-0.01400509554690737,0.005660882130695135,1751968182.882
24,16.799141359804576,9332,0.9998673048623616,-0.013432421884677692,0.009216436924830413,1751968183.892
25,16.799513913755654,9334,0.9998395673697812,-0.012317852771362055,0.01300423103885009,1751968184.901
26,16.799900417975103,9329,0.9998002962782152,-0.010593085127570115,0.016945622132954904,1751968185.915
27,16.800312284209063,9260,0.9997499650621202,-0.008253656221601282,0.02078183142230275,1751968186.924
28,16.800769977118,9228,0.9996902167266403,-0.005348026100466631,0.02430780117312038,1751968187.932
29,16.801274444235652,9274,0.9996211314562293,-0.0019142775645205703,0.027457769166008617,1751968188.947
30,16.80179202736068,9212,0.9995428718315867,0.0020049513321671766,0.030166662739186778,1751968189.955
31,16.802327515132543,9156,0.9994555020062674,0.006360821129343521,0.03237652643444635,1751968190.965
32,16.802896943796277,9221,0.9993591383293204,0.011094733525837574,0.034032624431104344,1751968191.979
33,16.80348400527623,9164,0.9992539230829528,0.01613896142406653,0.03508747821489725,1751968192.982
