scan,range_m,n,ux,uy,uz,ts
0,7.723256226049606,10504,0.8232169241489733,0.4993054943456254,0.2701997762970471,1751984142.83
1,7.723678223399329,10410,0.8230181437436914,0.5322984051868195,0.19824112314113135,1751984143.552
2,7.7240161843820605,10386,0.8228837920231098,0.5485983198615275,0.14799374402580778,1751984144.276
3,7.724414921195583,10239,0.8227462504767908,0.5601693671108585,0.09643073927437242,1751984145.002
4,7.724871264421241,10061,0.8226051451856553,0.5669085251376426,0.04399430918141213,1751984145.726
5,7.725361403738277,9592,0.8224615929429063,0.5687515801088294,-0.008863873731432078,1751984146.448
6,7.7261131753292345,9906,0.8222453490377836,0.5622973086371214,-0.08794499806801549,1751984147.171
7,7.726593992188993,10259,0.8221032764535716,0.5518912406023578,-0.13986515431190374,1751984147.899
8,7.727043013193078,10419,0.8219649142424039,0.5366921607626695,-0.19061795385108574,1751984148.622
9,7.727472305507219,10539,0.8218305622775547,0.5168264067292812,-0.23976028072609926,1751984149.346
10,7.727883845361744,10877,0.8216993897812185,0.49246349511005516,-0.28686202052060156,1751984150.069
11,7.7282960801280085,10847,0.8215704823370891,0.463813535254294,-0.33151010100344824,1751984150.795
12,7.7289240552646765,10681,0.8213816170266672,0.41335126370566727,-0.3930304975489627,1751984151.519
13,7.729341498366146,10353,0.8212586177895851,0.37514348659044516,-0.42988562103785777,1751984152.242
14,7.7297524189719695,10036,0.821137422698807,0.33366451895994087,-0.46303490346926546,1751984152.965
15,7.730157038961109,10112,0.8210170467027358,0.2892719188425201,-0.4921917979738023,1751984153.682
16,7.730545096353424,10134,0.8208963320967272,0.24234912017220575,-0.5171035833388681,1751984154.406
17,7.731103718410069,10071,0.8207126532732294,0.16811360693325036,-0.5460481260119008,1751984155.129
18,7.731479989927412,10189,0.8205906362502315,0.11667858791827802,-0.5594793247474269,1751984155.853
19,7.731870803176425,10137,0.8204697419587249,0.06420510381303245,-0.5680731530133606,1751984156.578
20,7.732290566558464,9765,0.8203493463395981,0.01114707116655138,-0.5717540491895111,1751984157.302
21,7.732747379349335,10090,0.8202295435620196,-0.042035228410911604,-0.57048798010167,1751984158.026
22,7.733216325843537,10159,0.8201103955214273,-0.09487997325808721,-0.564284263321451,1751984158.749
23,7.733879823997849,10131,0.8199315544186552,-0.17251608832866755,-0.5458483721111417,1751984159.474
24,7.734306247739934,10190,0.8198128087009477,-0.22253130551833789,-0.5276237075361261,1751984160.198
25,7.734746890603074,10188,0.8196957036468278,-0.270645062176852,-0.5048269047329191,1751984160.922
26,7.735211750728352,10169,0.8195799965789605,-0.3164416004468288,-0.4776539989514174,1751984161.646
27,7.735702219666422,10100,0.8194648292243875,-0.359526066645485,-0.446338885900245,1751984162.368
28,7.736203202641587,10184,0.8193499373816743,-0.39952641685844176,-0.41114999981138417,1751984163.082
29,7.736981590606633,10270,0.8191779744822586,-0.45299485131518163,-0.35177138997519497,1751984163.806
30,7.737540265074033,10302,0.8190656042131681,-0.4838299803120189,-0.3082857216060929,1751984164.529
31,7.738135289204109,10398,0.8189567999642636,-0.5104947530025642,-0.2621161325617787,1751984165.251
32,7.738739702655657,10374,0.8188501889541393,-0.5327593586710303,-0.21366289757045537,1751984165.978
33,7.739323380480103,10086,0.8187441812087961,-0.5504333009993932,-0.16334364660937814,1751984166.702
34,7.740199605489126,9729,0.8185871922375163,-0.5680106166648253,-0.0853167513489832,1751984167.425
35,7.740779565918154,9534,0.8184846511432607,-0.5736224320353408,-0.03225184194360896,1751984168.147
36,7.741365251743388,9960,0.8183829138969897,-0.5742852262592754,0.021115992560269903,1751984168.87
37,7.741958555444417,10252,0.8182812224410766,-0.5699929335682227,0.07432292165024755,1751984169.598
38,7.742572599601892,10281,0.8181804978438924,-0.5607802027731199,0.12691035074279453,1751984170.322
39,7.743203107020571,10504,0.8180808098611605,-0.5467246276046995,0.17842637167025036,1751984171.044
40,7.744148667789962,10613,0.8179341167193074,-0.5168351488434505,0.25271566953114505,1751984171.771
41,7.7447487690384795,10839,0.8178375957141852,-0.4912895091735197,0.2996269100272586,1751984172.495
42,7.745333502595997,10756,0.8177408784297169,-0.46150151078515766,0.3439712361346687,1751984173.218
43,7.74591040839313,10571,0.8176443893930254,-0.4277267778156481,0.38536665142893445,1751984173.94
44,7.746466795895143,10388,0.8175488622776675,-0.3902553272365273,0.4234555907672048,1751984174.663
45,7.747250207877698,10291,0.8174109827946704,-0.32782492171360655,0.4736772170055458,1751984175.381
46,7.747732095891867,10228,0.8173232060971455,-0.2825777255213841,0.5021280771020921,1751984176.104
47,7.748186102358282,10304,0.8172388133430633,-0.23488179838789736,0.5262615915604035,1751984176.826
48,7.748614733668203,10110,0.8171584742152788,-0.18515053600365797,0.5458674812037402,1751984177.55
49,7.7490158568308525,9920,0.8170811954646964,-0.13381603432743408,0.5607776644757365,1751984178.278
50,7.74938586002155,9886,0.8170064549743965,-0.08132268268582166,0.5708651975825384,1751984179.001
51,7.749888748675108,10330,0.8168958356487185,-0.0014040967517045826,0.5767835141646247,1751984179.724
52,7.750191249473203,10311,0.8168212402854925,0.05199377406643127,0.5745430435370344,1751984180.446
53,7.750474739907549,10212,0.8167473900624121,0.10495265045175142,0.5673699339843367,1751984181.174
54,7.75076008355484,10130,0.8166756686820617,0.15701557726934662,0.5553259949592504,1751984181.897
55,7.75103639676624,9967,0.8166081087391445,0.20773559699045227,0.5385138052868264,1751984182.619
56,7.751315031985283,10071,0.8165452431919894,0.2566792397446791,0.5170779764258271,1751984183.342
57,7.751747893532464,10299,0.8164589606635293,0.3258526967867385,0.47667052095660317,1751984184.071
58,7.752028912085788,10210,0.8164049403212775,0.3685623005480025,0.44457260828100403,1751984184.794
59,7.752293255563415,10182,0.8163528569613232,0.4081190990359687,0.4086646717458635,1751984185.516
60,7.752538530371908,10182,0.8163007744494047,0.44418618102948576,0.3692582865904881,1751984186.239
61,7.752779456590846,10332,0.8162477215896892,0.47645864221695977,0.32669070886147417,1751984186.967
62,7.753108468234406,10305,0.8161678079154157,0.5171604587545005,0.2577114068553814,1751984187.681
63,7.753303922890038,10209,0.8161150109771743,0.5388182057033577,0.208880899223315,1751984188.404
64,7.753484687079092,10019,0.8160625940083818,0.555873810375358,0.15825975356701263,1751984189.127
65,7.753663142548494,9999,0.8160112593431608,0.568181467234209,0.1062800306584932,1751984189.854
66,7.753822529775237,10141,0.8159617705803699,0.5756357959010454,0.0533837000283584,1751984190.577
67,7.753954692654966,10137,0.8159142080297525,0.578172988636265,1.8616957899520158e-05,1751984191.3
68,7.754121641272205,10145,0.8158465486167833,0.5727216409842,-0.07990200910144761,1751984192.022
69,7.754230575141289,10206,0.8158052685954434,0.5629600860618404,-0.13243000125787754,1751984192.75
70,7.754332443589135,10335,0.8157680746397593,0.5483871792575149,-0.18383130860799,1751984193.473
71,7.754419833948378,10471,0.8157365033738189,0.5291265561063606,-0.23366438471979034,1751984194.197
72,7.754492204558208,10510,0.8157100319413599,0.5053465855084065,-0.2814995067583962,1751984194.92
73,7.754569183712591,10732,0.815679734658902,0.4616659612667457,-0.3486131246445477,1751984195.647
74,7.754594834653195,10508,0.8156664402004334,0.4275707557932777,-0.3897069503115362,1751984196.37
