scan,obj,ht,hr,gnorm,cos
0,p2p,0.0025,0.002181661564992912,0.060175295480479056,0.9999993729326371
0,p2l,0.0025,0.002181661564992912,0.0473313769771239,0.9850051576453093
0,p2p,0.005,0.004363323129985824,0.06015530506972518,0.9999999999997237
0,p2l,0.005,0.004363323129985824,0.04721816575144307,0.9999999999995512
0,p2p,0.01,0.008726646259971648,0.06009349127569658,0.9999993789025426
0,p2l,0.01,0.008726646259971648,0.04658974412450334,0.9957510602461114
17,p2p,0.0025,0.002181661564992912,0.07526947374321924,0.9999993577835519
17,p2l,0.0025,0.002181661564992912,0.07117337539445799,0.9943720922073656
17,p2p,0.005,0.004363323129985824,0.07530412524467632,0.9999999999998238
17,p2l,0.005,0.004363323129985824,0.07044387846017652,0.9999999999997985
17,p2p,0.01,0.008726646259971648,0.07526709610636118,0.9999998818736201
17,p2l,0.01,0.008726646259971648,0.06966530147772278,0.97234058549195
34,p2p,0.0025,0.002181661564992912,0.08144536088632179,0.9999993629494156
34,p2l,0.0025,0.002181661564992912,0.07152011514262269,0.9758929396240904
34,p2p,0.005,0.004363323129985824,0.08147544290594079,0.9999999999998492
34,p2l,0.005,0.004363323129985824,0.07779979098722851,0.9999999999998349
34,p2p,0.01,0.008726646259971648,0.08144612286052796,0.9999996102318705
34,p2l,0.01,0.008726646259971648,0.07354538004804592,0.9961488736350431
51,p2p,0.0025,0.002181661564992912,0.09207123673876974,0.9999999101812478
51,p2l,0.0025,0.002181661564992912,0.08088088166639754,0.9755813798432705
51,p2p,0.005,0.004363323129985824,0.09207345378935561,0.999999999999882
51,p2l,0.005,0.004363323129985824,0.08324273407473957,0.9999999999998557
51,p2p,0.01,0.008726646259971648,0.0919706518082641,0.99999982409949
51,p2l,0.01,0.008726646259971648,0.08662815753684613,0.9915691577404931
68,p2p,0.0025,0.002181661564992912,0.0626672310769038,0.9999996243008595
68,p2l,0.0025,0.002181661564992912,0.059037505229782135,0.9895524977083391
68,p2p,0.005,0.004363323129985824,0.06263782310922729,0.9999999999997451
68,p2l,0.005,0.004363323129985824,0.05912360931072033,0.9999999999997139
68,p2p,0.01,0.008726646259971648,0.06267572648665694,0.9999986725146494
68,p2l,0.01,0.008726646259971648,0.057853894319199566,0.9860187380805768
86,p2p,0.0025,0.002181661564992912,0.09010998457751891,0.9999997190463878
86,p2l,0.0025,0.002181661564992912,0.07933234968536998,0.9755251555589143
86,p2p,0.005,0.004363323129985824,0.09008200700728407,0.9999999999998769
86,p2l,0.005,0.004363323129985824,0.07937974165190986,0.9999999999998415
86,p2p,0.01,0.008726646259971648,0.09006113266334369,0.9999990460527903
86,p2l,0.01,0.008726646259971648,0.08246735001887208,0.9955706593835976
103,p2p,0.0025,0.002181661564992912,0.07148494269879328,0.9999996163365175
103,p2l,0.0025,0.002181661564992912,0.061988394273119383,0.9897778813149274
103,p2p,0.005,0.004363323129985824,0.0714536533662305,0.9999999999998039
103,p2l,0.005,0.004363323129985824,0.06632505774500261,0.9999999999997726
103,p2p,0.01,0.008726646259971648,0.07140535428238139,0.9999955940169863
103,p2l,0.01,0.008726646259971648,0.06708030725138961,0.9980906625076724
120,p2p,0.0025,0.002181661564992912,0.06810109456015498,0.9999998515776158
120,p2l,0.0025,0.002181661564992912,0.057718897705307526,0.9635425692027684
120,p2p,0.005,0.004363323129985824,0.06814538541356309,0.9999999999997845
120,p2l,0.005,0.004363323129985824,0.05849459133549365,0.9999999999997077
120,p2p,0.01,0.008726646259971648,0.06819582261262762,0.9999995941532829
120,p2l,0.01,0.008726646259971648,0.06140325652605074,0.9946987402355227
137,p2p,0.0025,0.002181661564992912,0.0789144411650238,0.9999996623234961
137,p2l,0.0025,0.002181661564992912,0.07656505928341065,0.9849069505080154
137,p2p,0.005,0.004363323129985824,0.07893328115800652,0.9999999999998394
137,p2l,0.005,0.004363323129985824,0.07667968801697542,0.9999999999998299
137,p2p,0.01,0.008726646259971648,0.07894551218831804,0.999998545637386
137,p2l,0.01,0.008726646259971648,0.07621196236564429,0.9954159990400672
155,p2p,0.0025,0.002181661564992912,0.07597864968064567,0.9999998917455813
155,p2l,0.0025,0.002181661564992912,0.06850270400279963,0.997042038115224
155,p2p,0.005,0.004363323129985824,0.07602895548484419,0.999999999999827
155,p2l,0.005,0.004363323129985824,0.06993533093876284,0.9999999999997955
155,p2p,0.01,0.008726646259971648,0.07606176274043938,0.9999998915174009
155,p2l,0.01,0.008726646259971648,0.07069979007718141,0.9993598303942163
172,p2p,0.0025,0.002181661564992912,0.07289551316256153,0.9999996212720994
172,p2l,0.0025,0.002181661564992912,0.0693325530582241,0.9875703349703954
172,p2p,0.005,0.004363323129985824,0.07298208165222857,0.9999999999998124
172,p2l,0.005,0.004363323129985824,0.06786232181583403,0.9999999999997826
172,p2p,0.01,0.008726646259971648,0.07306334259992094,0.9999976956291411
172,p2l,0.01,0.008726646259971648,0.06988206534379894,0.9927627304681289
189,p2p,0.0025,0.002181661564992912,0.07971150299068963,0.9999994311556454
189,p2l,0.0025,0.002181661564992912,0.07981091378732723,0.9962014835995222
189,p2p,0.005,0.004363323129985824,0.0796937897170348,0.9999999999998426
189,p2l,0.005,0.004363323129985824,0.078177789512199,0.9999999999998365
189,p2p,0.01,0.008726646259971648,0.07974274045608024,0.9999985166407165
189,p2l,0.01,0.008726646259971648,0.07635442910370487,0.9991610017151724
206,p2p,0.0025,0.002181661564992912,0.08399889557941138,0.9999997138594133
206,p2l,0.0025,0.002181661564992912,0.0829453678646261,0.9912613499402191
206,p2p,0.005,0.004363323129985824,0.08392853080955939,0.9999999999998579
206,p2l,0.005,0.004363323129985824,0.07653316595891335,0.9999999999998294
206,p2p,0.01,0.008726646259971648,0.08382300665966631,0.9999991453923645
206,p2l,0.01,0.008726646259971648,0.07845601528400015,0.9995718657916471
224,p2p,0.0025,0.002181661564992912,0.06272302858089789,0.9999994702460534
224,p2l,0.0025,0.002181661564992912,0.06695480497884933,0.989510482317382
224,p2p,0.005,0.004363323129985824,0.06271696156421595,0.9999999999997455
224,p2l,0.005,0.004363323129985824,0.06888753993478085,0.9999999999997893
224,p2p,0.01,0.008726646259971648,0.0627214080648112,0.9999986030016816
224,p2l,0.01,0.008726646259971648,0.05926533371007969,0.9813408453025102
241,p2p,0.0025,0.002181661564992912,0.06134998919354804,0.9999998609386181
241,p2l,0.0025,0.002181661564992912,0.049033855850907096,0.9566683423817599
241,p2p,0.005,0.004363323129985824,0.061380208324930983,0.9999999999997345
241,p2l,0.005,0.004363323129985824,0.05084303259768715,0.9999999999996131
241,p2p,0.01,0.008726646259971648,0.06142840155803716,0.9999992903022984
241,p2l,0.01,0.008726646259971648,0.05106038854640243,0.9943466127922075
258,p2p,0.0025,0.002181661564992912,0.0739848598531185,0.9999994024355725
258,p2l,0.0025,0.002181661564992912,0.06837357765546703,0.9931792937557516
258,p2p,0.005,0.004363323129985824,0.07400937243393098,0.9999999999998174
258,p2l,0.005,0.004363323129985824,0.06665868830739019,0.9999999999997752
258,p2p,0.01,0.008726646259971648,0.07394815722737069,0.9999964191461439
258,p2l,0.01,0.008726646259971648,0.06743575849443513,0.9972327202324045
275,p2p,0.0025,0.002181661564992912,0.05900351020613816,0.9999998296383661
275,p2l,0.0025,0.002181661564992912,0.058279142725310394,0.9984184868754175
275,p2p,0.005,0.004363323129985824,0.05897217278620363,0.9999999999997123
275,p2l,0.005,0.004363323129985824,0.061374098077641576,0.9999999999997344
275,p2p,0.01,0.008726646259971648,0.05895630947454871,0.9999993659459868
275,p2l,0.01,0.008726646259971648,0.06397611027155224,0.9914422711584321
293,p2p,0.0025,0.002181661564992912,0.058431439079884295,0.9999996741672136
293,p2l,0.0025,0.002181661564992912,0.054377449969319244,0.9889705066659183
293,p2p,0.005,0.004363323129985824,0.0583955984698435,0.9999999999997069
293,p2l,0.005,0.004363323129985824,0.05507780780503946,0.9999999999996704
293,p2p,0.01,0.008726646259971648,0.05836232618271529,0.9999977693665454
293,p2l,0.01,0.008726646259971648,0.05600323009183678,0.9991072571363812
310,p2p,0.0025,0.002181661564992912,0.07228648071017546,0.9999992186177818
310,p2l,0.0025,0.002181661564992912,0.0674305834453024,0.9932230711131776
310,p2p,0.005,0.004363323129985824,0.07228178333085729,0.9999999999998084
310,p2l,0.005,0.004363323129985824,0.06610389597344045,0.9999999999997712
310,p2p,0.01,0.008726646259971648,0.07233936703098738,0.9999992185743013
310,p2l,0.01,0.008726646259971648,0.06575471738801739,0.9951102919784338
327,p2p,0.0025,0.002181661564992912,0.07498694316194739,0.9999992616298194
327,p2l,0.0025,0.002181661564992912,0.06997924808522722,0.9729617993114485
327,p2p,0.005,0.004363323129985824,0.07495379190925508,0.999999999999822
327,p2l,0.005,0.004363323129985824,0.07147913813884611,0.9999999999998044
327,p2p,0.01,0.008726646259971648,0.07502077101631556,0.9999991117606581
327,p2l,0.01,0.008726646259971648,0.0728408323719629,0.9877202230195524
344,p2p,0.0025,0.002181661564992912,0.05264234698577914,0.9999989585503695
344,p2l,0.0025,0.002181661564992912,0.044806706080815634,0.9892816694842514
344,p2p,0.005,0.004363323129985824,0.05270129235785566,0.9999999999996397
344,p2l,0.005,0.004363323129985824,0.04749491724749299,0.9999999999995567
344,p2p,0.01,0.008726646259971648,0.05273366729450233,0.9999949925769723
344,p2l,0.01,0.008726646259971648,0.04809608461581536,0.9979793671256363
362,p2p,0.0025,0.002181661564992912,0.061571631629642805,0.999999742757826
362,p2l,0.0025,0.002181661564992912,0.056656198532389644,0.9526849590544078
362,p2p,0.005,0.004363323129985824,0.061557164086631755,0.9999999999997361
362,p2l,0.005,0.004363323129985824,0.05409235141046383,0.9999999999996582
362,p2p,0.01,0.008726646259971648,0.0616285731363325,0.9999984061577918
362,p2l,0.01,0.008726646259971648,0.05497962273042212,0.9858207452015784
379,p2p,0.0025,0.002181661564992912,0.05664434502611491,0.9999998715860439
379,p2l,0.0025,0.002181661564992912,0.0566535582900516,0.9544710340409668
379,p2p,0.005,0.004363323129985824,0.05658596224815254,0.9999999999996878
379,p2l,0.005,0.004363323129985824,0.05357360711064742,0.9999999999996514
379,p2p,0.01,0.008726646259971648,0.05661265687044739,0.9999992430683575
379,p2l,0.01,0.008726646259971648,0.051985250062399645,0.9981854362805859
396,p2p,0.0025,0.002181661564992912,0.06388046449816466,0.9999986097657083
396,p2l,0.0025,0.002181661564992912,0.057386363394041996,0.9904322915967307
396,p2p,0.005,0.004363323129985824,0.0639291332815219,0.9999999999997553
396,p2l,0.005,0.004363323129985824,0.053834089580014656,0.9999999999996547
396,p2p,0.01,0.008726646259971648,0.0639791341589661,0.9999997174892131
396,p2l,0.01,0.008726646259971648,0.055290039083834,0.9994385651501257
413,p2p,0.0025,0.002181661564992912,0.05842319150461533,0.9999960703449481
413,p2l,0.0025,0.002181661564992912,0.057067232846177186,0.9962816175902396
413,p2p,0.005,0.004363323129985824,0.05839447200342926,0.9999999999997066
413,p2l,0.005,0.004363323129985824,0.055880478358771246,0.9999999999996797
413,p2p,0.01,0.008726646259971648,0.05836148110476664,0.9999940187273346
413,p2l,0.01,0.008726646259971648,0.05560980500920285,0.99651504274866
431,p2p,0.0025,0.002181661564992912,0.055511251939584165,0.9999996589464171
431,p2l,0.0025,0.002181661564992912,0.058999110786663166,0.9538486887091095
431,p2p,0.005,0.004363323129985824,0.05551526776549201,0.9999999999996755
431,p2l,0.005,0.004363323129985824,0.062001294935929666,0.99999999999974
431,p2p,0.01,0.008726646259971648,0.05545592318850178,0.9999993116287242
431,p2l,0.01,0.008726646259971648,0.061438428185963435,0.9899784014238471
448,p2p,0.0025,0.002181661564992912,0.05707282740179764,0.9999997511037748
