scan,variant,obj,J0,gnorm,dhat_t_mm,dhat_r_deg,tstar_mm,rstar_deg,gnstar
0,self,p2p,0.0,1.4021999328926606e-05,0.006720068172597158,0.0003864180132402396,0.0,0.0,1.4021999328926606e-05
0,self,p2l,0.0,8.388970454288818e-06,0.013986542766688072,0.0012807390771853737,0.0,0.0,8.388970454288818e-06
0,self_noise,p2p,9.125524162099291e-05,0.00020351210515521764,0.23465418271313668,0.04872330574343994,0.23334912366093213,0.050000524144937115,2.560897022607552e-06
0,self_noise,p2l,5.505727465112068e-05,0.00019956110606038653,0.3508970319252904,0.02772015389631595,0.3541239513851642,0.016091690933532465,3.9461227755937754e-05
5,self,p2p,0.0,1.0207561450246398e-05,0.004737742561176347,0.0003000646346541996,0.0,0.0,1.0207561450246398e-05
5,self,p2l,0.0,8.422442576855552e-06,0.0117821010364593,0.0007370648635302191,0.0,0.0,8.422442576855552e-06
5,self_noise,p2p,9.106493130370747e-05,0.0002668690716704455,0.5092619833100809,0.04966173197925302,0.5210690051645275,0.04549639609823191,1.155112972980114e-05
5,self_noise,p2l,5.539083049436198e-05,0.00020752260073717335,0.4609583952095462,0.08963977027444789,0.46591171712628343,0.0617016418857282,5.515561844711311e-05
10,self,p2p,0.0,9.38646913652011e-06,0.0036061206031681343,0.0002812623104004785,0.0,0.0,9.38646913652011e-06
10,self,p2l,0.0,1.0225157753824436e-05,0.015024217068023054,0.0016740763825791435,0.0,0.0,1.0225157753824436e-05
10,self_noise,p2p,9.09137170667971e-05,0.00016416108327616292,0.21568516617458405,0.04758054297618924,0.1930819853229928,0.04855090508347121,1.4991846515682632e-05
10,self_noise,p2l,5.468707162042587e-05,0.00017441729591599145,0.35262131369670346,0.044160321539286895,0.0,0.0,0.00017441729591599145
15,self,p2p,0.0,1.105331943332961e-05,0.005359998864435839,0.00036291068210582547,0.0,0.0,1.105331943332961e-05
15,self,p2l,0.0,8.984317469909237e-06,0.00791295642191325,0.0021984803872915656,0.0,0.0,8.984317469909237e-06
15,self_noise,p2p,9.27003810699093e-05,0.0001740266619496852,0.3262686197185782,0.03699885429175815,0.3349710253782735,0.03816500993380531,1.691693316622951e-07
15,self_noise,p2l,5.593684511092048e-05,0.0001635540012659701,0.3001691849377367,0.04257028456400315,0.37556880213523564,0.052393145139580356,1.6185150382863275e-05
20,self,p2p,0.0,8.140154137277821e-06,0.004672467847994275,0.00015482071395039805,0.0,0.0,8.140154137277821e-06
20,self,p2l,0.0,7.4424262626831e-06,0.00922527098653006,0.0014970238107144818,0.0,0.0,7.4424262626831e-06
20,self_noise,p2p,8.984165293780355e-05,0.00023799363573872445,0.428601613378798,0.037935742880835926,0.42390207210929914,0.03785070614276669,6.792475123936797e-06
20,self_noise,p2l,5.4031268661241574e-05,0.00022411091712233337,0.43853723224017765,0.07197530833660078,0.47468107836732154,0.07717397827290981,5.136139873624533e-05
25,self,p2p,0.0,1.551970030615359e-05,0.00793486838994839,0.0002583588584701425,0.0,0.0,1.551970030615359e-05
25,self,p2l,0.0,7.442060396790303e-06,0.011273499733225681,0.0004311461809822343,0.0,0.0,7.442060396790303e-06
25,self_noise,p2p,9.181844364076785e-05,0.00014303353545645412,0.2213581907249505,0.033611891355810816,0.15452002628320455,0.007128372699366799,6.458276843404206e-05
25,self_noise,p2l,5.506106058645746e-05,0.00012169770408849567,0.1472383977200809,0.02941074074426725,0.23186728700268183,0.016864005640807932,4.285555626226306e-05
30,self,p2p,0.0,2.193048691183036e-05,0.01141019523181704,0.00046781504450804016,0.0,0.0,2.193048691183036e-05
30,self,p2l,0.0,5.2099689121378326e-06,0.008743726771062721,0.0012269180621044236,0.0,0.0,5.2099689121378326e-06
30,self_noise,p2p,8.936259130222486e-05,0.00010584196426319187,0.19533074838141437,0.02471791684492193,0.20230473663490617,0.025860335320404493,6.925052694516785e-06
30,self_noise,p2l,5.290673573490781e-05,9.670798923801886e-05,0.18933080309264425,0.012191600544707182,0.09364914074719752,0.0013825670097442038,5.295153768329514e-05
35,self,p2p,0.0,1.7194885436265244e-05,0.009888603242730071,0.0002349726797467344,0.0,0.0,1.7194885436265244e-05
35,self,p2l,0.0,9.011700760376324e-06,0.012300250640352898,0.0011943385987245685,0.0,0.0,9.011700760376324e-06
35,self_noise,p2p,9.10798685401821e-05,0.00018201302401166532,0.3109725931699712,0.03477678731766006,0.334356678804367,0.028283432282368702,3.536427798242872e-05
35,self_noise,p2l,5.5014835230137154e-05,0.00011644534199724219,0.20207464710506065,0.027977363053430286,0.0,0.0,0.00011644534199724219
40,self,p2p,0.0,1.956232250376251e-05,0.010664092215211876,0.0004331279233499435,0.0,0.0,1.956232250376251e-05
40,self,p2l,0.0,1.1424167899732316e-05,0.014103589829481341,0.0015647265360562174,0.0,0.0,1.1424167899732316e-05
40,self_noise,p2p,8.99520931461539e-05,0.0001811469961266261,0.3468746686533849,0.031517386286312885,0.3470600056490889,0.031600758766437365,9.51544988333752e-08
40,self_noise,p2l,5.362269326235576e-05,0.00017935908046032062,0.3719326644023608,0.02289277657673126,0.0,0.0,0.00017935908046032062
45,self,p2p,0.0,1.7039972117785508e-05,0.008719496487413972,0.0004931403583151193,0.0,0.0,1.7039972117785508e-05
45,self,p2l,0.0,3.832573553414732e-06,0.004636492988304949,0.0009117543472936718,0.0,0.0,3.832573553414732e-06
45,self_noise,p2p,9.047621565181825e-05,0.00014723702372426684,0.103639761702251,0.030816407084917726,0.08744438173682843,0.030681808528574817,2.038753222888851e-06
45,self_noise,p2l,5.493364484223848e-05,0.00020269511569578536,0.29942722120738485,0.02410338250004661,0.18515831433183447,0.005123069336303096,9.360817286881845e-05
50,self,p2p,0.0,8.035678967061036e-06,0.004365677101905158,0.0002803162378438698,0.0,0.0,8.035678967061036e-06
50,self,p2l,0.0,6.9547650212912615e-06,0.009987407501913606,0.000706786398590938,0.0,0.0,6.9547650212912615e-06
50,self_noise,p2p,9.141059748266863e-05,0.00014652944092889513,0.12729327810021307,0.030281550320490448,0.12274606953107024,0.030543858960425142,9.34769525533696e-07
50,self_noise,p2l,5.536407221801653e-05,0.0001398620572068349,0.25120738901670564,0.009380338659476729,0.26422091971192047,0.012352928385477456,1.2335667997389179e-05
55,self,p2p,0.0,2.0846090502759004e-05,0.01113173701226183,0.0003252645886370876,0.0,0.0,2.0846090502759004e-05
55,self,p2l,0.0,8.284688409461139e-06,0.01322504294247743,0.0011785861351561238,0.0,0.0,8.284688409461139e-06
55,self_noise,p2p,8.987060017878553e-05,0.00012714555337559337,0.17291951345550854,0.027541647183231287,0.1868128507368903,0.018858903441978866,1.694309017539529e-05
55,self_noise,p2l,5.3561981825499155e-05,0.00013588742911619804,0.1689066590926603,0.07555115800095671,0.15932194645161402,0.06251292745959472,2.316313313736979e-05
60,self,p2p,0.0,1.501912147764361e-05,0.008409884325406415,0.0003708849702624791,0.0,0.0,1.501912147764361e-05
60,self,p2l,0.0,7.938715824349134e-06,0.009006846912038787,0.0010109196498220112,0.0,0.0,7.938715824349134e-06
60,self_noise,p2p,9.322704868915203e-05,0.0001823441078945984,0.30631224418541664,0.03734189462325776,0.31074582180647653,0.04066629370813524,1.6079970667718821e-06
60,self_noise,p2l,5.723544101143108e-05,0.0001279775479971081,0.23579497856049886,0.027112827456660948,0.28721362997868766,0.018045385044348043,2.8992582853842985e-05
65,self,p2p,0.0,1.4248637409771811e-05,0.008060674876742432,0.0002433870036772629,0.0,0.0,1.4248637409771811e-05
65,self,p2l,0.0,2.3128054392648507e-06,0.0035922876054440413,0.00026810514794107116,0.0,0.0,2.3128054392648507e-06
65,self_noise,p2p,9.02845193501889e-05,0.00011008113410200299,0.14609999849738517,0.027917113412103595,0.15966220086736702,0.028419198935005427,3.953797045975643e-06
65,self_noise,p2l,5.419865971083782e-05,6.853371200841337e-05,0.07062528814467293,0.023723426436831545,0.0708025325013289,0.0045350174254912305,3.2160402092153915e-05
70,self,p2p,0.0,1.0464079925337224e-05,0.0055709083984784,0.00013866787392562973,0.0,0.0,1.0464079925337224e-05
70,self,p2l,0.0,7.583839239812164e-06,0.010484440220374447,0.0017659340175352064,0.0,0.0,7.583839239812164e-06
70,self_noise,p2p,9.167390816240777e-05,0.00017052140441914973,0.31120487563297383,0.02016584814844665,0.32348267252122265,0.022042642533917245,1.263665223326328e-05
70,self_noise,p2l,5.589541880319923e-05,0.00015876282735971463,0.3203180704662925,0.027143360096338633,0.3582892577302395,0.025543093420016368,2.655257662048342e-05
75,self,p2p,0.0,9.067164008383551e-06,0.0037214097100907663,0.00039818254963673523,0.0,0.0,9.067164008383551e-06
75,self,p2l,0.0,5.2602482541634926e-06,0.007434297809748556,0.0003755754368749182,0.0,0.0,5.2602482541634926e-06
75,self_noise,p2p,9.006073351797871e-05,0.0001429753938228741,0.1497750575144695,0.06827587715371498,0.14446737566007095,0.06957414783953014,8.10870140797745e-08
75,self_noise,p2l,5.397417631090911e-05,9.844989405018525e-05,0.04096133726139739,0.04909859029128974,0.0,0.0,9.844989405018525e-05
80,self,p2p,0.0,1.0331832469428779e-05,0.005070670900969521,0.0005412065823881916,0.0,0.0,1.0331832469428779e-05
80,self,p2l,0.0,6.393911463028903e-06,0.010196776431492582,0.00021373537233251234,0.0,0.0,6.393911463028903e-06
80,self_noise,p2p,8.858783457821994e-05,0.0001904902017154981,0.3154163614873309,0.030476119563119856,0.32490903794430814,0.02705800892014653,6.930933057238857e-07
80,self_noise,p2l,5.244478709282267e-05,0.00015436701830848757,0.29461187676377476,0.00986845051324681,0.29244443890005944,0.006063283117458846,1.4106995864379322e-05
85,self,p2p,0.0,1.1401732943717281e-05,0.004076270804438373,0.0006236190740289825,0.0,0.0,1.1401732943717281e-05
85,self,p2l,0.0,6.8880610392891304e-06,0.006247531793620071,0.0019196244648965997,0.0,0.0,6.8880610392891304e-06
85,self_noise,p2p,9.190791324223344e-05,0.00022307027858510815,0.2752675777133396,0.036953066002519755,0.27822375524712256,0.04124407276718707,3.868207800964252e-06
85,self_noise,p2l,5.536892156146888e-05,0.00020798455137553538,0.3544055789853367,0.022254216632343792,0.3020789964753324,0.010542420309457212,4.7129169460941626e-05
90,self,p2p,0.0,1.98379194922222e-05,0.010960011767467612,0.00024249468691136698,0.0,0.0,1.98379194922222e-05
90,self,p2l,0.0,7.511761625280551e-06,0.009885260893833436,0.0010166087147647426,0.0,0.0,7.511761625280551e-06
90,self_noise,p2p,8.973756041238051e-05,0.00012259174374614298,0.17700139682497296,0.026290027477089035,0.17828469173526718,0.029434842731323126,6.831806713215673e-06
90,self_noise,p2l,5.42359353866849e-05,0.00014317433872644504,0.16747533926493643,0.029808068743921296,0.23600331655960835,0.01863482171937272,4.3899874975768e-05
95,self,p2p,0.0,1.3394353877878953e-05,0.0071041717139704134,0.0005319044571910247,0.0,0.0,1.3394353877878953e-05
95,self,p2l,0.0,3.836156220171448e-06,0.003936670032524094,0.0012814697343557229,0.0,0.0,3.836156220171448e-06
95,self_noise,p2p,9.07144915983126e-05,9.014412707887882e-05,0.1777841977881133,0.03463923543654108,0.17905983228863773,0.030067427923995183,1.028537216470149e-05
95,self_noise,p2l,5.429512928459573e-05,7.259031713341074e-05,0.15667013223173948,0.021472499506931045,0.05886015763640394,0.002434117300131613,5.760485446604186e-05
100,self,p2p,0.0,1.7163910820362086e-05,0.009229214442470865,0.0005455153886072927,0.0,0.0,1.7163910820362086e-05
100,self,p2l,0.0,5.768792681880335e-06,0.009211293277295038,0.0018008687895379465,0.0,0.0,5.768792681880335e-06
100,self_noise,p2p,9.140791804277342e-05,0.0001636353740800793,0.07584580842484932,0.03550389943175841,0.07138078973194739,0.0355150795956486,7.680417256418416e-07
100,self_noise,p2l,5.495484387579591e-05,0.00013489245586225504,0.11961253727697367,0.03074552906384255,0.09863623986870919,0.030305340777689146,1.597222972127707e-05
105,self,p2p,0.0,1.032461301512083e-05,0.005678230666520499,0.00028799467934857313,0.0,0.0,1.032461301512083e-05
105,self,p2l,0.0,6.120176429021408e-06,0.010466436397413648,0.0006616683147893463,0.0,0.0,6.120176429021408e-06
105,self_noise,p2p,8.981190572410704e-05,0.00020798942188535367,0.3446489109423197,0.031114310941314883,0.34601271149412627,0.030954104745995012,4.860949027554864e-07
105,self_noise,p2l,5.3894498045988324e-05,0.00015503416701233354,0.27798750176348186,0.005199474369288311,0.15307686919850577,0.0014070343992000267,7.48520054601023e-05
110,self,p2p,0.0,7.870894920574363e-06,0.003509045045810617,0.00022853319903055075,0.0,0.0,7.870894920574363e-06
110,self,p2l,0.0,5.545316989900483e-06,0.006750568031812664,0.0010944677555856561,0.0,0.0,5.545316989900483e-06
110,self_noise,p2p,8.984762159774285e-05,9.121465058892713e-05,0.1607341873097589,0.011620328561962691,0.15808296151076603,0.012407054999667716,1.13034879375458e-06
110,self_noise,p2l,5.4008951493720967e-05,0.0001251665171778139,0.25514294757828293,0.039160947179615414,0.1799480865339431,0.005362569953053007,5.8418762063329536e-05
115,self,p2p,0.0,1.7540464334568064e-05,0.009521015127257056,0.0005581674645439843,0.0,0.0,1.7540464334568064e-05
115,self,p2l,0.0,5.673540634635308e-06,0.008099790956069434,0.001120370482048045,0.0,0.0,5.673540634635308e-06
115,self_noise,p2p,8.946020721802963e-05,0.00012388406786524914,0.21393493516854714,0.03956611277440563,0.22457462365984618,0.03868394544515821,1.0396081729517126e-05
115,self_noise,p2l,5.3037359413030994e-05,0.00012243213452388556,0.23992313991153386,0.020814984996401126,0.0,0.0,0.00012243213452388556
120,self,p2p,0.0,2.142448340535868e-05,0.01223450807726215,0.00035615142424725487,0.0,0.0,2.142448340535868e-05
120,self,p2l,0.0,7.271718981350304e-06,0.010852032210519244,0.0003086705857790925,0.0,0.0,7.271718981350304e-06
120,self_noise,p2p,9.236105273613e-05,0.00017870288290908572,0.25615764913406325,0.08400657014085917,0.2626932305428812,0.08074222352391719,1.2929074590792227e-07
120,self_noise,p2l,5.6039502798139824e-05,0.00015426595583275604,0.29465270943534083,0.06388637094726489,0.179566674445499,0.018567824603372324,9.632181236331356e-05
125,self,p2p,0.0,1.6082648740108972e-05,0.00929184389288488,0.00017137058877095642,0.0,0.0,1.6082648740108972e-05
125,self,p2l,0.0,5.8740428947148305e-06,0.008262759498932964,0.0011628018122846408,0.0,0.0,5.8740428947148305e-06
125,self_noise,p2p,8.86189788125495e-05,0.00017602808348539688,0.17642562914472884,0.03342950735421039,0.2063852876457185,0.028637566804350804,2.0683608865186074e-05
125,self_noise,p2l,5.2975720731487655e-05,0.00012017391557330313,0.1853310665663589,0.015153442762576134,0.18393097301751463,0.007254737414400825,1.951191976227826e-05
130,self,p2p,0.0,1.920021156663603e-05,0.00848763577456082,0.0005635380278548483,0.0,0.0,1.920021156663603e-05
130,self,p2l,0.0,4.887586584447262e-06,0.005312082532527854,0.0015025758685213977,0.0,0.0,4.887586584447262e-06
130,self_noise,p2p,8.91826121232706e-05,0.00012847949627342717,0.24129636457891626,0.020467925980343405,0.24022353788888648,0.02077079393251436,3.9331944245958337e-07
130,self_noise,p2l,5.3407163009177336e-05,0.0001507124729571864,0.2574443590529577,0.09573185285159523,0.25473376480327764,0.0703102687952601,2.4304064845916075e-05
135,self,p2p,0.0,1.744446583857417e-05,0.010050014356768592,0.0004565991533576327,0.0,0.0,1.744446583857417e-05
135,self,p2l,0.0,6.267050829051988e-06,0.010604242113869688,0.0007591680683354034,0.0,0.0,6.267050829051988e-06
135,self_noise,p2p,9.178119784058923e-05,0.00010016405557466532,0.055782889942732145,0.031786027974125435,0.06542657916536633,0.026606676331501534,1.9820610597237817e-05
135,self_noise,p2l,5.5379894848490256e-05,0.00014020351533467097,0.2560303949452509,0.030675618278724982,0.2264670090724441,0.01822059468659361,2.9143702094214393e-05
140,self,p2p,0.0,6.507141840545122e-06,0.003053194751655404,0.00033537762371254394,0.0,0.0,6.507141840545122e-06
140,self,p2l,0.0,7.3962415564873895e-06,0.009877711923733051,0.0011794432633366644,0.0,0.0,7.3962415564873895e-06
140,self_noise,p2p,9.113068806442883e-05,0.00016567922114250796,0.29793240101745644,0.03640121667822209,0.29134952709234063,0.0342963459606355,1.4944724345546404e-06
140,self_noise,p2l,5.4640152198981756e-05,0.00015055749277136207,0.2700989904779441,0.017472124171369136,0.14373955238350983,0.0025665054042215713,7.818015222128083e-05
145,self,p2p,0.0,8.771572607552426e-06,0.003906703188001899,0.0003353789284215478,0.0,0.0,8.771572607552426e-06
145,self,p2l,0.0,5.555702746429918e-06,0.004781373555955668,0.0011331154661712282,0.0,0.0,5.555702746429918e-06
145,self_noise,p2p,9.090051558333388e-05,6.189190226715157e-05,0.07513534346319581,0.03288935886476078,0.08610436706827816,0.03255101318107252,5.205871953073624e-06
145,self_noise,p2l,5.45922685159207e-05,8.971922567497949e-05,0.12194522484493414,0.05483962744295342,0.13599896695419633,0.019812318959979137,5.4199316046792524e-05
150,self,p2p,0.0,2.183338347104974e-05,0.012180038185335381,0.0003239735694082765,0.0,0.0,2.183338347104974e-05
150,self,p2l,0.0,6.502224133788794e-06,0.010198012714093823,0.0009137654975796206,0.0,0.0,6.502224133788794e-06
150,self_noise,p2p,9.075616938637978e-05,0.0002402162453565304,0.4323395583679151,0.02276234472334777,0.4211282122623225,0.020260666219367004,8.904000830134333e-06
150,self_noise,p2l,5.474620926497338e-05,0.00022669734270603108,0.4563464885810585,0.054705828548471246,0.48544355409628365,0.022315563008730346,3.358396514691577e-05
155,self,p2p,0.0,2.6498352516640064e-05,0.015148060009915193,0.00032210273323101,0.0,0.0,2.6498352516640064e-05
155,self,p2l,0.0,6.213993538347036e-06,0.009425936423047954,0.0012575814248186176,0.0,0.0,6.213993538347036e-06
155,self_noise,p2p,8.993570803793494e-05,0.0001576396547144318,0.2219145335354178,0.029575028301163396,0.2211605983817093,0.02907581989886303,1.2059359044841956e-05
