scan,cond,obj,J0,gnorm,dhat_t_mm,dhat_r_deg,tstar_mm,rstar_deg,lbfgs_t_mm,opt_cos,Jstar,icp_iters,lst_gn,lst_conv,lst_onbnd,eigmin,condH
0,raw,p2p,0.009078057615930177,0.06015530506972518,261.51508851717466,18.862461805463898,148.82663013139725,4.916122977551957,148.86121206461493,0.9999931626486425,0.00402863881065432,25,3.382678758844986e-06,True,False,0.008983501096852203,117.24224627145146
0,raw,p2l,0.008081589902126587,0.04721816575144307,69.40435948261226,0.8739502114573066,146.38696111122928,4.609579005112327,153.7308612869512,0.9544151941135354,0.0035421473584766354,40,0.007160002018471623,False,False,-0.809071531913312,7.527716489836707
1,raw,p2p,0.009246756973772358,0.0644050152002756,398.09383880693633,80.83169503503744,152.12704174652154,4.585390755827114,0.0,,0.004025333204660804,39,0.0,False,False,0.0031431928031639984,301.9144808310339
1,raw,p2l,0.008140049649906184,0.05209344162013943,47.43908467933879,1.3669173107926007,149.92701010127894,4.131107161010359,0.0,,0.0035487209490854947,18,0.0,False,False,0.8356640721599002,8.130496693868063
2,raw,p2p,0.010494984316744201,0.07044590816702158,763.7448633303403,153.05573721850837,155.5163438278263,6.306839081781899,0.0,,0.004874770343699234,40,0.0,False,False,-0.0028893737247896595,317.7608163344119
2,raw,p2l,0.009473257381379576,0.05715284912992084,80.32403209847327,2.382491327664103,155.98786802141404,6.806911663888727,0.0,,0.004304657538325499,40,0.0,False,False,-1.6318848376201691,4.098299033546394
3,raw,p2p,0.012223203784613348,0.08143047491677986,237.56611779575084,9.199201818201233,157.5692560650436,4.049028099531629,0.0,,0.005883090432651083,32,0.0,False,False,-0.03149580504343075,31.464079300601128
3,raw,p2l,0.011053805166937034,0.07559974630952676,66.9511753871087,0.7315358292387364,156.98434856385367,4.153975289171641,0.0,,0.005098195440035419,40,0.0,False,False,-2.8952743010245348,2.704757694509054
4,raw,p2p,0.010449093506681599,0.07321255872713876,242.40579475528,4.329341936761177,151.40492711490427,4.183191994792766,0.0,,0.0048885443089965504,31,0.0,False,False,0.02356635966625117,44.10226528501894
4,raw,p2l,0.009425714411361677,0.07157691720312608,151.13377985170482,5.6781816419012054,150.50774193993897,3.716999541325341,0.0,,0.0043327964878658465,40,0.0,False,False,-1.8354782511814187,14.034766721238912
5,raw,p2p,0.010372207834605917,0.07268420371134984,261.70050986989173,4.754769337813056,148.72802999250268,4.665506818002147,148.41445536622896,0.999461164011576,0.004870032399621426,29,9.022610612411341e-06,False,False,0.025888729217372997,38.32429931293787
5,raw,p2l,0.009464739914335114,0.07583750130061476,56.055582107519385,0.022852794312138842,149.79983630867338,3.6942596388694433,150.4138414396783,0.9779385304394295,0.004228251625675127,40,0.004191148000763021,False,False,-7.836904516481294,9.613463384545398
6,raw,p2p,0.011265633562297199,0.07342437661358675,295.0129185002858,5.010981037216763,152.74119589850528,5.536149267156991,0.0,,0.0051998316120449965,40,0.0,False,False,-0.00898327338293452,97.2744471271562
6,raw,p2l,0.010078100435103736,0.07342403618743837,111.43262665636792,4.299991422483291,153.3939515274176,5.383365769829516,0.0,,0.004388245800280841,40,0.0,False,False,-1.6945442897341185,8.875740835969912
7,raw,p2p,0.010573298204884798,0.07058302531454276,263.20230730787137,23.245529446337276,152.49312421602895,4.851415783437144,0.0,,0.0047558795993881695,33,0.0,False,False,-0.01008421199556518,92.59848173696734
7,raw,p2l,0.009709266025452537,0.06553705504085769,238.2171922628353,39.53150584357649,159.59460230485814,4.900992592702965,0.0,,0.004063548521168064,40,0.0,False,False,-0.8308538244366885,15.53846550075582
8,raw,p2p,0.011300481323799837,0.07662782319449775,277.8375368226612,7.3292468354004745,154.40232019421464,5.439939235794481,0.0,,0.005070125366538644,36,0.0,False,False,-0.015393055492760153,56.24493641997527
8,raw,p2l,0.010064318991605231,0.07072955935977425,544.9649956666736,11.219841164140677,160.6950193202258,5.858541031335293,0.0,,0.004451284659921507,40,0.0,False,False,-0.3810063448352199,131.690080228035
9,raw,p2p,0.012670242678806004,0.09023537975497772,259.6756842820411,46.03925485778714,162.76387570565672,5.695298360469941,0.0,,0.005256671137362332,35,0.0,False,False,-0.0036519391437019313,249.54198629203623
9,raw,p2l,0.011520599655239475,0.08115745504229738,70.2018402175215,0.2661522513815251,164.4144578948268,5.544879212839273,0.0,,0.004377354218325397,40,0.0,False,False,0.8708464698018261,3.7126762556263246
10,raw,p2p,0.013473557800035315,0.09706521297402801,335.8940238562376,23.14089820841641,163.84990616459143,6.0695321932330515,163.43553689444457,0.9996919730401217,0.005813858797134016,40,1.0104834967580845e-05,False,False,0.00964974487788382,97.0032040052923
10,raw,p2l,0.012427805156172112,0.08829011901878979,157.68083072919995,3.6345645699281013,166.65598422480392,5.090543232661625,167.29224060929735,0.9900541779439996,0.0049494474762676035,16,0.0012821948807401262,False,False,-4.726667576523388,16.132463621083115
11,raw,p2p,0.011299914707611746,0.08841056054903751,292.5970943258303,18.373275493852837,152.3683029101362,4.315373101705014,0.0,,0.004980709779349937,30,0.0,False,False,0.002920826677915528,343.27437755476103
11,raw,p2l,0.010286620546684633,0.08521406708867824,96.06142405303021,0.3214271607873038,153.71196759760898,3.19078538792463,0.0,,0.004248259714313585,40,0.0,False,False,-1.7348456861002022,8.671660030062126
12,raw,p2p,0.0100771718511319,0.08449076978168084,185.74575332334618,6.7408801950812265,151.08436946473967,5.506534194407443,0.0,,0.004118930630278117,40,0.0,False,False,0.011525819240535721,98.07625193190475
12,raw,p2l,0.009248687924682251,0.08344712731050025,164.5395462582869,5.825114218851755,149.78171625070922,5.2338835102390595,0.0,,0.003479425279514445,40,0.0,False,False,-0.7197514953538882,10.514139157401184
13,raw,p2p,0.012442182901806317,0.0957579411146462,175.16506211615268,6.255239748449173,163.08384629251057,5.743751682491509,0.0,,0.004878362026398084,38,0.0,False,False,0.013644516014079145,77.71955722561003
13,raw,p2l,0.011509192769473865,0.08797231939049498,72.83298072665418,1.8061551431131657,164.55683418078038,5.286366418876708,0.0,,0.003963573642953507,40,0.0,False,False,-6.528076696700077,16.30039165175758
14,raw,p2p,0.014123790643114942,0.10058122015591044,188.9369567392249,14.672541353570082,168.55513728444114,5.716289539132535,0.0,,0.005745960430377831,40,0.0,False,False,0.015770820822577223,63.34330515281502
14,raw,p2l,0.01319673743443937,0.09649916768526533,630.6455823504501,91.67327101537104,173.34489953847856,5.345182800443623,0.0,,0.004672321824583229,40,0.0,False,False,-1.0256422618575438,255.8325297691367
15,raw,p2p,0.013257206057954513,0.08746143592587255,239.17636464006526,11.109460077572248,159.33941877436058,5.4582045497319,159.44787027945947,0.9998633456485261,0.006160474491463544,40,9.117042988604825e-08,True,False,0.016951266321081907,53.28857821419268
15,raw,p2l,0.0117685439675641,0.08355130118633708,55.815638613586955,0.22066018816779165,163.3605745019275,4.799937025325301,156.20643831220232,0.8835256346709713,0.0051296799187489665,40,0.004100766502019426,False,False,1.1827355269727353,4.921758209675353
16,raw,p2p,0.012628750597385592,0.07971945521436782,242.74633623778834,8.728518963034356,156.15726873046648,5.940196495100716,0.0,,0.006147856331407779,40,0.0,False,False,0.012277295997460623,68.72468016248683
16,raw,p2l,0.011468097292800196,0.0753318016698011,164.31764538163623,1.2667826684849852,159.36531253712505,5.438036398546564,0.0,,0.005057500827308994,40,0.0,False,False,-3.9419471343137262,10.198963911643549
17,raw,p2p,0.011790882387521582,0.07530412524467632,243.60902516473345,23.031986334412615,151.3464905926848,4.078496399957601,0.0,,0.005725573234335498,24,0.0,False,False,-0.004963101946824127,181.67311350570174
17,raw,p2l,0.01071358293076615,0.07044387846017652,90.86133851185096,1.2957555913715604,153.23812355911613,3.209363208598802,0.0,,0.004784388422723137,40,0.0,False,False,-6.484940795798764,42.89954505832879
18,raw,p2p,0.011406594771965066,0.0720750858967544,818.8309978672827,163.60365912526834,146.08169726687532,4.456519337665111,0.0,,0.005715058399976868,29,0.0,False,False,-0.0007433673752619952,1333.6462261712277
18,raw,p2l,0.0099110247013907,0.06751488015904236,69.16805656824037,2.1973932969288095,143.9188652154319,3.774417508928485,0.0,,0.004756481134646756,40,0.0,False,False,-2.036483935104037,27.808242369515295
19,raw,p2p,0.011220234089518158,0.07276682055805955,739.8384746758996,172.69186305033642,148.62554572919302,5.469626925583501,0.0,,0.005465408545897547,40,0.0,False,False,0.0005825262127714186,1653.7855632490166
19,raw,p2l,0.010223397573162249,0.06893090417943681,46.03229560301898,0.48154397833256535,152.62048863381156,5.505022690044654,0.0,,0.004696234577747556,40,0.0,False,False,-8.001231853960492,6.646411735722781
20,raw,p2p,0.012375241079692026,0.0810488869736713,228.71963817347248,9.90124613501372,158.3950859458633,6.336142827199101,158.04889283349377,0.999835101261627,0.0059696926192854775,40,6.8344502035482085e-06,False,False,0.025986142028260148,38.77197697220706
20,raw,p2l,0.011308707276578827,0.0764542436793515,243.7069457868017,6.972198966118787,159.8861709833057,6.791299942357203,152.1622714858131,0.958305082199288,0.004918849379600443,40,0.0035113899954822368,False,False,-0.10807436052989412,151.7016450282997
