protocol,cond_obj,median,mean,frac_pos,ci_pt,ci_block,block_len,perm_p,mag_spearman,n
A_embargo10,raw|p2p,0.9399670626717981,0.934663324374596,1.0,"[0.9344731015313955, 0.944624748215372]","[0.9293662371731706, 0.9483992679156114]",5,0.0004997501249375312,-0.03835007276284085,501
A_embargo10,raw|p2l,0.9842751610732628,0.9270340344328156,0.9740518962075848,"[0.9826613709363448, 0.9852958758081034]","[0.9815283557405237, 0.9857510372859084]",5,0.0004997501249375312,-0.06006250447312547,501
A_embargo10,scale|p2p,0.9085543750773274,0.904737759099761,1.0,"[0.900740668390809, 0.9147952896983162]","[0.895003424806068, 0.9206832843815165]",5,0.0004997501249375312,-0.19870000238566693,501
A_embargo10,scale|p2l,0.9825588839354826,0.9242219241252984,0.9740518962075848,"[0.9813004080252608, 0.9841124086404567]","[0.9808104295162283, 0.9842629180155696]",5,0.0004997501249375312,-0.051515041629887647,501
A_embargo10,combined|p2p,0.3282725019377124,0.33412109517520827,0.9780439121756487,"[0.30593377142418604, 0.34719386557437376]","[0.29677136806358034, 0.3602623433905402]",5,0.0004997501249375312,-0.2687748646134027,501
A_embargo10,combined|p2l,0.46826832075941527,0.4238770721466143,0.9481037924151696,"[0.441451394160457, 0.48752325250287487]","[0.4322580011889081, 0.5047657580605864]",5,0.0004997501249375312,-0.03862480616456331,501
B_blockout,raw|p2p,0.9396775327015355,0.9282142663986616,1.0,"[0.9335118673342558, 0.9435751221526029]","[0.9272279582001492, 0.9473737245945779]",5,0.0004997501249375312,-0.08880959992365867,501
B_blockout,raw|p2l,0.9821945168359011,0.9261283461637778,0.9700598802395209,"[0.9797222431667787, 0.9839141478552762]","[0.9785782283576496, 0.9843184759212206]",5,0.0004997501249375312,-0.16171768017749363,501
B_blockout,scale|p2p,0.9044826235017142,0.895592639772567,1.0,"[0.8991788731563318, 0.909009094619942]","[0.8922811842617469, 0.914857006995784]",5,0.0004997501249375312,-0.2589375193835437,501
B_blockout,scale|p2l,0.980885679684709,0.9228131971492421,0.9700598802395209,"[0.9791424870110281, 0.9826001768170531]","[0.9778218043782808, 0.983389133369939]",5,0.0004997501249375312,-0.16351933583033137,501
B_blockout,combined|p2p,0.31688055227129935,0.31717120606897914,0.9740518962075848,"[0.30484878915441027, 0.3369472889074873]","[0.2843999600895083, 0.35225919732444894]",5,0.0004997501249375312,-0.2766585394947158,501
B_blockout,combined|p2l,0.46471579733530216,0.4193879648131442,0.9421157684630739,"[0.4340959664289277, 0.4834908068315314]","[0.41985248950763243, 0.4999611924799468]",5,0.0004997501249375312,0.019464751771357685,501
