name,method,flag,crc,csize,usize,lho
epos_dataset_i/,0,0,0,0,0,0
epos_dataset_i/0000.3d,8,8,830315390,50221,181230,77
epos_dataset_i/0000.pose,8,8,3669814703,65,89,50398
epos_dataset_i/0001.3d,8,8,911133329,50549,182623,50565
epos_dataset_i/0001.pose,8,8,1075260872,65,89,101214
epos_dataset_i/0002.3d,8,8,3124356505,51541,186099,101381
epos_dataset_i/0002.pose,8,8,647479899,64,89,153022
epos_dataset_i/0003.3d,8,8,2100833645,51617,186888,153188
epos_dataset_i/0003.pose,8,8,4192848455,64,89,204905
epos_dataset_i/0004.3d,8,8,814508048,52222,188868,205071
epos_dataset_i/0004.pose,8,8,4203731788,65,89,257393
epos_dataset_i/0005.3d,8,8,4090358503,52343,189201,257560
epos_dataset_i/0005.pose,8,8,3516272374,64,89,310003
epos_dataset_i/0006.3d,8,8,495073564,52356,189916,310169
epos_dataset_i/0006.pose,8,8,1217840657,64,89,362625
epos_dataset_i/0007.3d,8,8,838611997,52739,191162,362791
epos_dataset_i/0007.pose,8,8,358910780,66,89,415630
epos_dataset_i/0008.3d,8,8,1260374237,53647,194271,415798
epos_dataset_i/0008.pose,8,8,4165164131,63,89,469545
epos_dataset_i/0009.3d,8,8,3791286347,53921,195530,469710
epos_dataset_i/0009.pose,8,8,1508625333,64,89,523731
epos_dataset_i/0010.3d,8,8,3937170859,54572,198368,523897
epos_dataset_i/0010.pose,8,8,2077679076,64,89,578569
epos_dataset_i/0011.3d,8,8,19842276,54825,199455,578735
epos_dataset_i/0011.pose,8,8,2340864352,65,89,633660
epos_dataset_i/0012.3d,8,8,1645038881,55131,200869,633827
epos_dataset_i/0012.pose,8,8,3843004573,65,89,689058
epos_dataset_i/0013.3d,8,8,828816380,55583,202393,689225
epos_dataset_i/0013.pose,8,8,2729005735,63,89,744908
epos_dataset_i/0014.3d,8,8,2808917987,56235,205077,745073
epos_dataset_i/0014.pose,8,8,4154099503,64,89,801408
epos_dataset_i/0015.3d,8,8,1855572669,56696,206734,801574
epos_dataset_i/0015.pose,8,8,2705312007,66,89,858370
epos_dataset_i/0016.3d,8,8,1934761555,56932,208142,858538
epos_dataset_i/0016.pose,8,8,4256080598,64,89,915570
epos_dataset_i/0017.3d,8,8,3743846346,57026,208416,915736
epos_dataset_i/0017.pose,8,8,1221608399,66,89,972862
epos_dataset_i/0018.3d,8,8,4027338795,57633,210727,973030
epos_dataset_i/0018.pose,8,8,1368428912,65,89,1030763
epos_dataset_i/0019.3d,8,8,4111591717,57624,211066,1030930
epos_dataset_i/0019.pose,8,8,121161069,65,89,1088654
epos_dataset_i/0020.3d,8,8,4101937626,58294,214043,1088821
epos_dataset_i/0020.pose,8,8,334600712,65,89,1147215
epos_dataset_i/0021.3d,8,8,429455867,58544,214815,1147382
epos_dataset_i/0021.pose,8,8,2143018849,64,89,1206026
epos_dataset_i/0022.3d,8,8,119873848,59449,217684,1206192
epos_dataset_i/0022.pose,8,8,2450594913,65,89,1265741
epos_dataset_i/0023.3d,8,8,2644322843,59340,217904,1265908
epos_dataset_i/0023.pose,8,8,3800355608,65,89,1325348
epos_dataset_i/0024.3d,8,8,2441065322,60052,220225,1325515
epos_dataset_i/0024.pose,8,8,2608376135,65,89,1385667
epos_dataset_i/0025.3d,8,8,2290435883,59922,220105,1385834
epos_dataset_i/0025.pose,8,8,3118022095,65,89,1445856
epos_dataset_i/0026.3d,8,8,3523146210,60227,221589,1446023
epos_dataset_i/0026.pose,8,8,1696390948,66,89,1506350
epos_dataset_i/0027.3d,8,8,2378641162,60010,220812,1506518
epos_dataset_i/0027.pose,8,8,4111075524,65,89,1566628
epos_dataset_i/0028.3d,8,8,2969163278,60538,222934,1566795
epos_dataset_i/0028.pose,8,8,975262860,64,89,1627433
epos_dataset_i/0029.3d,8,8,184988429,60091,222532,1627599
epos_dataset_i/0029.pose,8,8,3101092535,64,88,1687790
epos_dataset_i/0030.3d,8,8,4178862856,60429,224080,1687956
epos_dataset_i/0030.pose,8,8,2521634643,64,88,1748485
epos_dataset_i/0031.3d,8,8,4021181386,60113,222543,1748651
epos_dataset_i/0031.pose,8,8,1349887279,64,88,1808864
epos_dataset_i/0032.3d,8,8,2586469926,59826,221641,1809030
epos_dataset_i/0032.pose,8,8,1535579568,64,88,1868956
epos_dataset_i/0033.3d,8,8,1999805079,59521,220837,1869122
epos_dataset_i/0033.pose,8,8,2439110070,62,88,1928743
epos_dataset_i/0034.3d,8,8,2592842885,59972,222089,1928907
epos_dataset_i/0034.pose,8,8,3583912574,64,88,1988979
epos_dataset_i/0035.3d,8,8,4279464021,60662,223919,1989145
epos_dataset_i/0035.pose,8,8,3866809751,63,88,2049907
epos_dataset_i/0036.3d,8,8,2878715415,61208,226302,2050072
epos_dataset_i/0036.pose,8,8,762934445,65,88,2111380
epos_dataset_i/0037.3d,8,8,1654984902,61672,227797,2111547
epos_dataset_i/0037.pose,8,8,2179236444,63,88,2173319
epos_dataset_i/0038.3d,8,8,1381412744,62116,228847,2173484
epos_dataset_i/0038.pose,8,8,314484809,63,88,2235700
epos_dataset_i/0039.3d,8,8,1107913914,62465,229965,2235865
epos_dataset_i/0039.pose,8,8,463669410,64,88,2298430
epos_dataset_i/0040.3d,8,8,2408863919,62171,229674,2298596
epos_dataset_i/0040.pose,8,8,2349279096,62,89,2360867
epos_dataset_i/0041.3d,8,8,1651160874,62645,230896,2361031
epos_dataset_i/0041.pose,8,8,1744625518,63,89,2423776
epos_dataset_i/0042.3d,8,8,1007335311,62591,230858,2423941
epos_dataset_i/0042.pose,8,8,416936614,65,89,2486632
epos_dataset_i/0043.3d,8,8,975992890,62736,232043,2486799
epos_dataset_i/0043.pose,8,8,1759376309,64,89,2549635
epos_dataset_i/0044.3d,8,8,3581159697,62477,231352,2549801
epos_dataset_i/0044.pose,8,8,2598217034,65,89,2612378
epos_dataset_i/0045.3d,8,8,2662216987,63000,233325,2612545
epos_dataset_i/0045.pose,8,8,4012536225,65,89,2675645
epos_dataset_i/0046.3d,8,8,1720841693,62574,232147,2675812
epos_dataset_i/0046.pose,8,8,994308300,64,89,2738486
epos_dataset_i/0047.3d,8,8,1495967500,63019,233997,2738652
epos_dataset_i/0047.pose,8,8,2750624357,63,89,2801771
epos_dataset_i/0048.3d,8,8,1402317720,62771,232861,2801936
epos_dataset_i/0048.pose,8,8,2937881512,64,89,2864807
epos_dataset_i/0049.3d,8,8,2273362249,63416,235007,2864973
epos_dataset_i/0049.pose,8,8,2697550247,64,89,2928489
epos_dataset_i/0050.3d,8,8,931968772,62975,233693,2928655
epos_dataset_i/0050.pose,8,8,592365222,63,89,2991730
epos_dataset_i/0051.3d,8,8,1945455354,63621,235602,2991895
epos_dataset_i/0051.pose,8,8,1410527479,64,89,3055616
epos_dataset_i/0052.3d,8,8,1140968891,63450,234859,3055782
epos_dataset_i/0052.pose,8,8,3533132640,64,89,3119332
epos_dataset_i/0053.3d,8,8,790325164,63803,236278,3119498
epos_dataset_i/0053.pose,8,8,1972941942,64,89,3183401
epos_dataset_i/0054.3d,8,8,3028037747,63666,235633,3183567
epos_dataset_i/0054.pose,8,8,1135231040,63,89,3247333
epos_dataset_i/0055.3d,8,8,3245674568,64021,236437,3247498
epos_dataset_i/0055.pose,8,8,1971618362,63,89,3311619
epos_dataset_i/0056.3d,8,8,10086205,63748,234968,3311784
epos_dataset_i/0056.pose,8,8,310363441,64,89,3375632
epos_dataset_i/0057.3d,8,8,3564495939,64030,236116,3375798
epos_dataset_i/0057.pose,8,8,282636423,63,89,3439928
epos_dataset_i/0058.3d,8,8,2026589351,63734,234669,3440093
epos_dataset_i/0058.pose,8,8,2153440480,63,89,3503927
