name,method,flag,crc,csize,usize,lho
epos_dataset_ii/,0,0,0,0,0,0
epos_dataset_ii/0000.3d,8,8,2605394865,69555,247098,78
epos_dataset_ii/0000.pose,8,8,427874925,65,89,69734
epos_dataset_ii/0001.3d,8,8,2276879944,69461,246803,69902
epos_dataset_ii/0001.pose,8,8,1386942206,64,89,139464
epos_dataset_ii/0002.3d,8,8,2509761921,69544,247608,139631
epos_dataset_ii/0002.pose,8,8,2710811388,65,89,209276
epos_dataset_ii/0003.3d,8,8,3851667880,69237,246338,209444
epos_dataset_ii/0003.pose,8,8,170192912,65,89,278782
epos_dataset_ii/0004.3d,8,8,4148145054,70686,251594,278950
epos_dataset_ii/0004.pose,8,8,2368645992,65,89,349737
epos_dataset_ii/0005.3d,8,8,2553440557,71287,254426,349905
epos_dataset_ii/0005.pose,8,8,832289688,65,89,421293
epos_dataset_ii/0006.3d,8,8,3261380398,71903,256721,421461
epos_dataset_ii/0006.pose,8,8,11120985,64,89,493465
epos_dataset_ii/0007.3d,8,8,949661460,73365,263580,493632
epos_dataset_ii/0007.pose,8,8,3751798077,65,89,567098
epos_dataset_ii/0008.3d,8,8,2473092124,68532,247409,567266
epos_dataset_ii/0008.pose,8,8,908573378,65,89,635899
epos_dataset_ii/0009.3d,8,8,2873602571,69588,251853,636067
epos_dataset_ii/0009.pose,8,8,3159060842,65,89,705756
epos_dataset_ii/0010.3d,8,8,2377821248,70243,254644,705924
epos_dataset_ii/0010.pose,8,8,2431274920,65,89,776268
epos_dataset_ii/0011.3d,8,8,1681573359,71186,258041,776436
epos_dataset_ii/0011.pose,8,8,885264520,66,89,847723
epos_dataset_ii/0012.3d,8,8,3235408838,78472,285681,847892
epos_dataset_ii/0012.pose,8,8,2688701341,65,89,926465
epos_dataset_ii/0013.3d,8,8,2886649846,71148,259890,926633
epos_dataset_ii/0013.pose,8,8,1733390491,64,89,997882
epos_dataset_ii/0014.3d,8,8,2526185914,71378,261582,998049
epos_dataset_ii/0014.pose,8,8,1607793554,65,89,1069528
epos_dataset_ii/0015.3d,8,8,3568597929,71562,263106,1069696
epos_dataset_ii/0015.pose,8,8,393047937,65,89,1141359
epos_dataset_ii/0016.3d,8,8,798223388,71951,265323,1141527
epos_dataset_ii/0016.pose,8,8,3695799798,65,89,1213579
epos_dataset_ii/0017.3d,8,8,2722722308,65300,240663,1213747
epos_dataset_ii/0017.pose,8,8,1711181459,64,90,1279148
epos_dataset_ii/0018.3d,8,8,3947969569,65678,242079,1279315
epos_dataset_ii/0018.pose,8,8,2381847507,63,89,1345094
epos_dataset_ii/0019.3d,8,8,2373053344,65829,242626,1345260
epos_dataset_ii/0019.pose,8,8,1385696664,64,89,1411190
epos_dataset_ii/0020.3d,8,8,768264106,65877,242504,1411357
epos_dataset_ii/0020.pose,8,8,3221012633,65,89,1477335
