name,method,flag,crc,csize,usize,lho
epos_dataset_iii/,0,0,0,0,0,0
epos_dataset_iii/0000.3d,8,8,1080449502,63409,224342,79
epos_dataset_iii/0000.pose,8,8,1345703944,64,88,63590
epos_dataset_iii/0001.3d,8,8,3896459466,63339,224342,63758
epos_dataset_iii/0001.pose,8,8,2594375580,64,88,127199
epos_dataset_iii/0002.3d,8,8,1138205516,62407,221365,127367
epos_dataset_iii/0002.pose,8,8,3471517527,65,88,189876
epos_dataset_iii/0003.3d,8,8,193177333,62009,219972,190045
epos_dataset_iii/0003.pose,8,8,3157361401,64,88,252156
epos_dataset_iii/0004.3d,8,8,1025395169,63066,223189,252324
epos_dataset_iii/0004.pose,8,8,3571181190,65,88,315492
epos_dataset_iii/0005.3d,8,8,1813168832,63320,224346,315661
epos_dataset_iii/0005.pose,8,8,408397877,64,89,379083
epos_dataset_iii/0006.3d,8,8,700159246,62711,222060,379251
epos_dataset_iii/0006.pose,8,8,3010311469,65,89,442064
epos_dataset_iii/0007.3d,8,8,977103259,63840,226515,442233
epos_dataset_iii/0007.pose,8,8,677204052,64,89,506175
epos_dataset_iii/0008.3d,8,8,3294984409,64949,229996,506343
epos_dataset_iii/0008.pose,8,8,3252953311,64,89,571394
epos_dataset_iii/0009.3d,8,8,1253421295,67082,237767,571562
epos_dataset_iii/0009.pose,8,8,150674586,65,89,638746
epos_dataset_iii/0010.3d,8,8,2586166523,69384,246249,638915
epos_dataset_iii/0010.pose,8,8,1804621020,64,89,708401
epos_dataset_iii/0011.3d,8,8,457242008,72027,255843,708569
epos_dataset_iii/0011.pose,8,8,1896206398,65,89,780698
epos_dataset_iii/0012.3d,8,8,3734360378,73092,259707,780867
epos_dataset_iii/0012.pose,8,8,666171344,64,89,854061
epos_dataset_iii/0013.3d,8,8,967875053,74157,263186,854229
epos_dataset_iii/0013.pose,8,8,822824778,64,89,928488
epos_dataset_iii/0014.3d,8,8,3458958270,67663,239915,928656
epos_dataset_iii/0014.pose,8,8,2616563220,64,89,996421
epos_dataset_iii/0015.3d,8,8,4066822837,67091,237846,996589
epos_dataset_iii/0015.pose,8,8,4189780722,64,89,1063782
epos_dataset_iii/0016.3d,8,8,3692705301,67528,239441,1063950
epos_dataset_iii/0016.pose,8,8,3767045997,65,89,1131580
epos_dataset_iii/0017.3d,8,8,2451378409,67196,237826,1131749
epos_dataset_iii/0017.pose,8,8,1540582628,66,88,1199047
epos_dataset_iii/0018.3d,8,8,728651620,65678,232515,1199217
epos_dataset_iii/0018.pose,8,8,2518812875,63,88,1264997
epos_dataset_iii/0019.3d,8,8,207605305,66027,233561,1265164
epos_dataset_iii/0019.pose,8,8,3169462196,65,88,1331293
epos_dataset_iii/0020.3d,8,8,1283280665,67075,236802,1331462
epos_dataset_iii/0020.pose,8,8,1726533765,65,88,1398639
epos_dataset_iii/0021.3d,8,8,59770693,67405,238205,1398808
epos_dataset_iii/0021.pose,8,8,1727723683,64,88,1466315
epos_dataset_iii/0022.3d,8,8,626953262,66803,235579,1466483
epos_dataset_iii/0022.pose,8,8,808817776,65,88,1533388
epos_dataset_iii/0023.3d,8,8,3486829414,66365,234261,1533557
epos_dataset_iii/0023.pose,8,8,3574567427,63,88,1600024
epos_dataset_iii/0024.3d,8,8,132128864,66477,234356,1600191
epos_dataset_iii/0024.pose,8,8,91992005,64,88,1666770
epos_dataset_iii/0025.3d,8,8,1904525839,66903,235402,1666938
epos_dataset_iii/0025.pose,8,8,679403658,65,88,1733943
epos_dataset_iii/0026.3d,8,8,3685121490,67763,239322,1734112
epos_dataset_iii/0026.pose,8,8,2377450780,65,88,1801977
epos_dataset_iii/0027.3d,8,8,3057568965,70718,250717,1802146
epos_dataset_iii/0027.pose,8,8,1094918405,63,88,1872966
epos_dataset_iii/0028.3d,8,8,515145627,70082,248334,1873133
epos_dataset_iii/0028.pose,8,8,3408364284,62,88,1943317
