part,endpoint,set,n,median_cos,ciL5_lo,ciL5_hi,ciL10_lo,ciL20_lo,frac_pos,perm_p,mag_spearman
P3,p2p,IN,428,0.7881,0.7188,0.8298,0.6879,0.588,1.0,0.0004997501249375312,0.58
P3,p2p,OUT,825,0.5219,0.4257,0.5953,0.3356,0.268,0.7988,0.0004997501249375312,0.105
P3,p2p,ALL,1253,0.6188,0.5416,0.6832,0.51,0.4662,0.8675,0.0004997501249375312,0.174
P3,p2l,IN,428,0.6107,0.5545,0.6511,0.5169,0.4689,0.9556,0.0004997501249375312,0.424
P3,p2l,OUT,825,0.5919,0.4724,0.6426,0.447,0.4025,0.7976,0.0004997501249375312,0.095
P3,p2l,ALL,1253,0.6043,0.5548,0.6355,0.5362,0.4845,0.8516,0.0004997501249375312,0.138
P1,p2p,raw,,,,,,,,5.394974222658511e-281,2639.2
P1,p2l,raw,,,,,,,,5.078485420035512e-29,5724.1
P2,p2p,raw,,55.04,48.94,59.8,,,0.05,,0.736
P2,p2l,raw,,59.25,54.42,64.39,,,0.125,,0.749
GATE,p2p,IN,428,0.7881,0.7188,0.8298,,,1.0,0.0004997501249375312,PASS=True
